"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.861643875E0,-1.894676685E-2,9.014356881E-3,1.411477663E-2
1.871621875E0,1.342257834E-3,-3.677797038E-3,1.657414436E-2
1.881658875E0,1.307306532E-2,8.113842458E-3,1.453094184E-2
1.891668875E0,1.316039171E-2,2.088174224E-2,3.787282389E-3
1.901677875E0,6.932840683E-3,1.759447530E-2,-1.123002637E-2
1.911654875E0,8.172219619E-3,1.648048498E-2,-2.616308443E-2
1.921664875E0,1.679340564E-2,1.330147125E-2,-3.244761005E-2
1.931703875E0,3.179484978E-2,1.633628621E-3,-3.433220461E-2
1.941680875E0,3.706488758E-2,-1.111439336E-2,-2.565406635E-2
1.951690875E0,1.237152703E-2,-1.866445318E-2,-1.204264816E-2
1.961699875E0,4.774176981E-3,-3.680214658E-2,7.741102600E-4
1.971715875E0,2.057028189E-2,-4.412294552E-2,2.024516650E-2
1.981725875E0,2.781487629E-2,-1.948763803E-2,3.517244756E-2
1.991755875E0,1.700352319E-2,8.215006441E-3,3.917437419E-2
2.001744875E0,1.398862340E-2,-1.459032414E-3,2.423158102E-2
2.011754875E0,2.534891851E-2,-1.740300842E-2,-3.018355055E-4
2.021750875E0,3.534041345E-2,-3.240104020E-2,-3.108000197E-2
2.031773875E0,2.826684900E-2,-3.150035441E-2,-6.749718636E-2
2.041783875E0,2.843196504E-2,-2.088872343E-2,-8.464155346E-2
2.051808875E0,4.221992195E-2,-2.079005353E-2,-7.698889822E-2
2.061803875E0,5.794060230E-2,-3.127952665E-2,-4.896714166E-2
2.071813875E0,5.861523002E-2,-3.435085714E-2,-1.369713526E-2
2.081833875E0,5.614967644E-2,-2.679520473E-2,1.401145756E-2
2.091825875E0,5.609725416E-2,-2.464462444E-2,1.826769672E-2
2.101835875E0,4.453274608E-2,-2.476207167E-2,2.095383359E-3
2.111859875E0,2.555198967E-2,-1.213674992E-2,-2.172366530E-2
2.121862875E0,2.143337950E-2,-4.754083930E-4,-3.786514327E-2
2.131872875E0,3.214594349E-2,9.166030213E-3,-4.311822727E-2
2.141885875E0,5.133188888E-2,2.879854990E-3,-3.857379407E-2
2.151891875E0,5.870967731E-2,-1.517632790E-2,-2.557403967E-2
2.161901875E0,6.614345312E-2,-3.751622140E-2,-1.682601124E-2
2.171911875E0,6.178892404E-2,-2.791578881E-2,-1.158730593E-2
2.181920875E0,4.678176343E-2,-1.411213819E-2,-9.719747119E-3
2.191930875E0,3.066165186E-2,-5.632900633E-3,-2.488733036E-3
2.201906875E0,1.663735695E-2,1.779915951E-2,4.684166983E-3
2.211919875E0,2.190009877E-2,3.811064735E-2,6.784224417E-3
2.221929875E0,3.462814540E-2,4.780055955E-2,1.224024221E-2
2.231933875E0,5.165384337E-2,2.764846198E-2,2.217195183E-2
2.241948875E0,7.514732331E-2,-2.085982123E-3,2.903270535E-2
2.251958875E0,9.434791654E-2,-1.904073171E-2,3.470337018E-2
2.261958875E0,9.425015002E-2,-8.347461931E-3,4.106304422E-2
2.271970875E0,6.989463419E-2,1.709020510E-2,2.664060518E-2
2.281980875E0,3.916281834E-2,2.538674697E-2,3.772041993E-3
2.292014875E0,2.865157649E-2,1.888346113E-2,-9.147342294E-3
2.302004875E0,3.186917305E-2,-1.363978372E-3,-5.799937528E-3
2.312014875E0,4.572080448E-2,-2.367487922E-2,1.965839649E-3
2.322041875E0,5.835561454E-2,-2.995073423E-2,1.925146766E-2
2.332049875E0,7.743679732E-2,-2.980921231E-2,3.124587424E-2
2.342059875E0,7.952817529E-2,-1.698875614E-2,3.227731586E-2
2.352056875E0,5.499558151E-2,-8.595072664E-3,2.764804289E-2
2.362076875E0,2.727609128E-2,7.240500767E-3,1.973589323E-2
2.372086875E0,1.438559219E-2,2.425863221E-2,2.269226871E-2
2.382063875E0,1.866897009E-2,3.600412235E-2,1.841588691E-2
2.392095875E0,2.303652652E-2,3.386188671E-2,9.937610477E-3
2.402105875E0,3.062334098E-2,2.213652059E-2,2.613917924E-3
2.412088875E0,3.597049043E-2,1.042906195E-2,3.810667433E-3
2.422127875E0,4.124051332E-2,7.277857512E-3,1.030339766E-2
2.432137875E0,4.326398298E-2,2.331833914E-2,1.665983163E-2
2.442145875E0,4.302277789E-2,4.024322703E-2,1.742972992E-2
2.452153875E0,5.050194263E-2,3.814813867E-2,1.753616147E-2
2.462163875E0,5.153098702E-2,2.963534929E-2,2.293332294E-2
2.472171875E0,5.469982326E-2,1.153729204E-2,3.054390103E-2
2.482152875E0,4.828700051E-2,-3.420896363E-3,3.481066599E-2
2.492162875E0,3.127366304E-2,-1.206231862E-2,3.036318719E-2
2.502172875E0,1.968590170E-2,-1.110489108E-2,1.632283255E-2
2.512182875E0,1.446508616E-2,-5.062379059E-4,3.384204116E-3
2.522192875E0,1.131803170E-2,1.545408275E-2,-5.281988066E-3
2.532193875E0,1.769596711E-2,2.829357982E-2,-5.263563246E-3
2.542211875E0,1.865944639E-2,2.833295800E-2,4.364752676E-3
2.552221875E0,2.073884383E-2,1.236704178E-2,1.301736291E-2
2.562219875E0,2.612908185E-2,-2.280905284E-2,1.646562293E-2
2.572241875E0,1.340597775E-2,-5.169162527E-2,1.537814643E-2
2.582251875E0,-2.628915710E-3,-5.816709995E-2,1.841095462E-2
2.592244875E0,-3.002524143E-3,-3.594491631E-2,2.338310890E-2
2.602269875E0,-2.109948546E-3,3.695553460E-4,3.069082648E-2
2.612279875E0,-3.165625036E-3,9.956932627E-3,2.742472477E-2
2.622272875E0,-5.190207623E-3,4.580651410E-3,1.887854002E-2
2.632291875E0,-9.380063973E-3,5.599324126E-3,1.134208869E-2
2.642301875E0,2.555189421E-4,-5.021631252E-3,1.151759084E-2
2.652308875E0,4.077737778E-2,-1.865568385E-2,1.958031021E-2
2.662330875E0,5.678651482E-2,-1.643730886E-2,1.977412216E-2
2.672340875E0,3.979314864E-2,-9.090448730E-3,9.905780666E-3
2.682326875E0,1.858189888E-2,-2.847731812E-3,-4.283837508E-3
2.692357875E0,1.761733741E-2,4.579578061E-3,-1.501640957E-2
2.702367875E0,1.129393000E-2,9.851840325E-3,-2.367008664E-2
2.712379875E0,7.063134573E-3,-8.452378097E-4,-2.473957837E-2
2.722387875E0,2.205290645E-2,-2.210545354E-2,-2.337507345E-2
2.732397875E0,3.480750695E-2,-3.268329799E-2,-1.568265446E-2
2.742375875E0,2.931311540E-2,-2.306552790E-2,-4.051095806E-3
2.752391875E0,3.727968037E-2,-1.357129030E-2,1.391035039E-2
2.762401875E0,6.586419046E-2,-1.227859221E-2,3.563561663E-2
2.772401875E0,6.140428036E-2,-1.576760551E-3,5.048213527E-2
2.782415875E0,3.789975867E-2,4.702975973E-3,5.015137047E-2
2.792425875E0,2.950481884E-2,4.613821860E-3,3.722465411E-2
2.802429875E0,2.860189602E-2,2.425746759E-3,2.333666757E-2
2.812464875E0,3.191007301E-2,3.476099810E-3,1.375834178E-2
2.822474875E0,3.411213681E-2,1.334591419E-3,8.455823176E-3
2.832453875E0,1.912588999E-2,4.469315987E-3,1.145491004E-2
2.842469875E0,-2.287257230E-3,4.376101773E-3,1.652423665E-2
2.852479875E0,-8.822382428E-3,-1.054477878E-2,3.147208318E-2
2.862479875E0,6.311646430E-4,-1.577776484E-2,4.657563195E-2
2.872503875E0,1.334323175E-2,-9.281783365E-3,5.418401584E-2
2.882513875E0,1.346888579E-2,7.740293629E-3,3.914415091E-2
2.892506875E0,1.905582845E-2,1.942115091E-2,1.458580978E-2
2.902544875E0,3.325102851E-2,2.792673185E-2,-1.518984511E-2
2.912554875E0,3.236712515E-2,3.106287494E-2,-3.231050819E-2
2.922532875E0,3.409940377E-2,2.447443828E-2,-3.248149902E-2
2.932540875E0,3.819162026E-2,1.922081783E-2,-1.530943718E-2
2.942550875E0,3.045578487E-2,2.352880687E-2,7.005285472E-3
2.952589875E0,1.419576351E-2,4.484744370E-2,2.378524467E-2
2.962566875E0,2.282376401E-3,5.017003417E-2,3.749572858E-2
2.972576875E0,8.693522774E-3,3.420809656E-2,4.086183012E-2
2.982614875E0,1.204224024E-2,1.498695556E-2,3.245317191E-2
2.992623875E0,3.658344503E-3,5.297204014E-3,2.064345032E-2
3.002633875E0,7.073049899E-3,-7.547492627E-3,4.725203384E-3
3.012641875E0,2.107737958E-2,-1.924297959E-2,-3.584352555E-3
3.022648875E0,2.861518413E-2,-2.135668881E-2,-8.819031529E-3
3.032658875E0,2.537757903E-2,-7.500792388E-3,-8.929019794E-3
3.042667875E0,1.876453310E-2,1.705439761E-2,3.685338655E-3
3.052644875E0,2.289828658E-2,2.351698466E-2,1.438929141E-2
3.062654875E0,2.290361375E-2,2.138272859E-2,1.439994387E-2
3.072684875E0,1.617009006E-2,1.696093008E-2,6.671087351E-3
3.082701875E0,3.475772217E-3,1.899117045E-2,-4.184316378E-3
3.092711875E0,7.858270779E-3,1.258094516E-2,-1.264358126E-2
3.102697875E0,2.074103616E-2,4.096467048E-3,-1.671118289E-2
3.112726875E0,2.819874696E-2,6.273922510E-3,-1.555883791E-2
3.122736875E0,2.185270004E-2,6.221723743E-3,-2.098130062E-2
3.132726875E0,1.665617805E-3,7.540048100E-4,-2.869008109E-2
3.142723875E0,-2.074533142E-2,1.700080233E-3,-3.004802205E-2
3.152733875E0,-2.619682252E-2,3.839931684E-3,-2.051284164E-2
3.162755875E0,-1.249857340E-2,-5.628251936E-3,-2.127527259E-3
3.172749875E0,4.339563195E-3,-1.825845242E-2,2.272237092E-2
3.182759875E0,2.659932896E-2,-3.515168279E-2,4.125211388E-2
3.192785875E0,5.228258297E-2,-4.889747500E-2,3.951193765E-2
3.202794875E0,4.399688542E-2,-4.475545883E-2,1.588245109E-2
3.212804875E0,1.560279168E-2,-4.077589884E-2,-2.402874641E-2
3.222814875E0,-4.228043836E-3,-4.422097281E-2,-6.379487365E-2
3.232824875E0,-1.833859459E-2,-4.132995754E-2,-8.448658884E-2
3.242834875E0,-2.695998922E-2,-2.855353989E-2,-8.039166033E-2
3.252841875E0,-2.409352735E-2,-4.973322619E-3,-5.590685084E-2
3.262849875E0,-1.393741649E-2,2.510106564E-2,-1.640427299E-2
3.272859875E0,4.830671940E-3,3.707147390E-2,2.116169967E-2
3.282871875E0,1.753760688E-2,3.184102476E-2,3.202899545E-2
3.292876875E0,1.551280543E-2,2.220031247E-2,2.456993237E-2
3.302886875E0,1.037058700E-2,7.184526417E-3,1.068910211E-2
3.312902875E0,1.486244332E-2,-1.312038675E-2,-4.109906498E-3
3.322881875E0,2.664744295E-2,-1.413687877E-2,-7.159174886E-3
3.332891875E0,1.697981171E-2,5.024950951E-3,-6.308668759E-3
3.342901875E0,1.056145970E-2,1.992390305E-2,-8.600732312E-3
3.352910875E0,7.340972312E-3,3.697393090E-2,-1.086242031E-2
3.362920875E0,-1.086879201E-4,3.692732751E-2,-1.309388317E-2
3.372930875E0,-3.153569764E-3,1.766896434E-2,-2.265165932E-2
3.382940875E0,-4.174044356E-3,9.119154885E-3,-2.475832216E-2
3.392950875E0,-2.617457649E-3,7.961360738E-3,-1.525872666E-2
3.402959875E0,2.601652872E-3,-1.569845830E-3,-2.325152280E-3
3.412969875E0,1.109530218E-2,-1.110665035E-2,4.240356851E-3
3.422979875E0,1.977334730E-2,-1.750182919E-2,-6.300908979E-3
3.432996875E0,1.248130854E-2,-1.333194692E-2,-2.350845188E-2
3.442998875E0,1.579506323E-2,4.777739756E-3,-3.744462878E-2
3.453008875E0,1.370962150E-2,2.820994519E-2,-4.720272869E-2
3.463018875E0,-7.600611541E-3,4.514639825E-2,-5.503765121E-2
3.473026875E0,-4.503277689E-2,6.203255802E-2,-5.346176401E-2
3.483036875E0,-6.542760879E-2,5.343037471E-2,-4.192639515E-2
3.493047875E0,-4.631360248E-2,3.756885603E-2,-2.878253721E-2
3.503063875E0,-2.290977910E-2,2.385656536E-2,-1.773100533E-2
3.513073875E0,-1.446569338E-2,1.966635138E-2,-7.987299934E-3
3.523076875E0,-1.331892423E-2,3.654063679E-3,-1.109648589E-2
3.533088875E0,-8.784222417E-3,-3.372505307E-2,-2.580837533E-2
3.543098875E0,-4.287624732E-3,-6.576121598E-2,-3.841096535E-2
3.553106875E0,-4.666141234E-3,-7.551040500E-2,-4.601820186E-2
3.563109875E0,-3.638478229E-3,-6.482975185E-2,-4.498932138E-2
3.573119875E0,4.457455943E-4,-3.809187934E-2,-3.438621387E-2
3.583115875E0,-5.134879146E-3,-9.255018085E-3,-1.964477822E-2
3.593129875E0,-1.503106393E-2,1.850734279E-2,-6.801253185E-4
3.603139875E0,-2.271659486E-2,3.026253730E-2,1.518763136E-2
3.613163875E0,-1.970329694E-2,4.313346371E-2,2.904957719E-2
3.623143875E0,-8.090578951E-3,4.750098661E-2,3.985865787E-2
3.633153875E0,1.498398837E-3,4.115973786E-2,4.321743548E-2
3.643167875E0,4.727139603E-3,3.583740443E-2,4.221627489E-2
3.653181875E0,6.944863591E-3,2.729308419E-2,3.694615141E-2
3.663191875E0,6.060960237E-3,1.123581734E-2,2.419413812E-2
3.673192875E0,5.232252181E-3,-1.123521104E-2,8.272353560E-3
3.683200875E0,4.193821456E-3,-1.764722727E-2,7.223883178E-3
3.693210875E0,9.492914192E-3,-3.040242568E-2,1.376583893E-2
3.703229875E0,5.158622283E-3,-3.360369056E-2,2.013750561E-2
3.713243875E0,-7.134995423E-3,-3.269523382E-2,2.512106672E-2
3.723253875E0,-1.251724456E-2,-1.991392113E-2,2.605743334E-2
