"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.039940875E0,-6.273454285E-1,9.684860229E0,1.601669312E0
2.049999875E0,-6.271957397E-1,9.686057739E0,1.523531799E0
2.060032875E0,-6.200106812E-1,9.702822876E0,1.491348724E0
2.070117875E0,-6.234535217E-1,9.708960114E0,1.504970398E0
2.080173875E0,-6.239025879E-1,9.696985016E0,1.504970398E0
2.090216875E0,-6.273454285E-1,9.692344666E0,1.536255341E0
2.100291875E0,-6.494993591E-1,9.653126221E0,1.547032928E0
2.110348875E0,-6.412664795E-1,9.662556610E0,1.594633942E0
2.120391875E0,-6.517446899E-1,9.689650269E0,1.672023010E0
2.130462875E0,-6.345304871E-1,9.676327972E0,1.732497253E0
2.140524875E0,-6.206094360E-1,9.692344666E0,1.691931610E0
2.150567875E0,-6.268963623E-1,9.786199493E0,1.648372192E0
2.160613875E0,-6.171665955E-1,9.955497437E0,1.592538300E0
2.170702875E0,-6.021977234E-1,9.980944519E0,1.575174408E0
2.180732875E0,-6.161187744E-1,9.977052612E0,1.596130829E0
2.190788875E0,-6.312373352E-1,9.931547241E0,1.630259857E0
2.200878875E0,-6.942562866E-1,9.888137512E0,1.674118652E0
2.210923875E0,-7.791297913E-1,9.820627899E0,1.692230988E0
2.220963875E0,-8.162525940E-1,9.726024628E0,1.668280792E0
2.231042875E0,-8.518785095E-1,9.722432098E0,1.603315887E0
2.241105875E0,-7.879614258E-1,9.807006226E0,1.585353241E0
2.251152875E0,-7.896080017E-1,9.852361908E0,1.501377869E0
2.261211875E0,-7.828720093E-1,9.859247589E0,1.453178101E0
2.271256875E0,-7.734416199E-1,9.832004242E0,1.462009735E0
2.281336875E0,-7.875123596E-1,9.784103851E0,1.463656311E0
2.291388875E0,-7.756869507E-1,9.730515289E0,1.478625183E0
2.301437875E0,-7.792794800E-1,9.712552643E0,1.436412964E0
2.311506875E0,-7.708969116E-1,9.713899841E0,1.422791290E0
2.321566875E0,-7.783813477E-1,9.705666962E0,1.461261292E0
2.331631875E0,-8.241860962E-1,9.751022644E0,1.484313354E0
2.341684875E0,-8.722361755E-1,9.789193268E0,1.483714600E0
2.351741875E0,-8.982820129E-1,9.798024902E0,1.494492188E0
2.361812875E0,-8.434959412E-1,9.764494629E0,1.497785339E0
2.371858875E0,-7.653584290E-1,9.717941437E0,1.459764404E0
