"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.429389062E0,2.920999825E-1,3.418000042E-1,-2.400999963E-1
1.439315625E0,3.181999922E-1,3.070999980E-1,-1.409999933E-2
1.449242187E0,3.907999992E-1,2.658999860E-1,9.829999506E-2
1.459168750E0,5.137999654E-1,1.435000002E-1,-1.809999906E-2
1.469095312E0,4.623999894E-1,1.729999930E-1,-9.789999574E-2
1.479021875E0,2.083999962E-1,1.493999958E-1,1.200999990E-1
1.488946875E0,-5.929999799E-2,1.380999982E-1,2.601999938E-1
1.498873437E0,-3.085999787E-1,2.407999933E-1,2.391999960E-1
1.508800000E0,-2.999999821E-1,2.137999982E-1,8.659999818E-2
1.518726562E0,-1.807999909E-1,1.596999913E-1,5.299999844E-3
1.528653125E0,-1.789999940E-2,8.980000019E-2,-1.219999939E-1
1.538579687E0,4.789999872E-2,1.149999946E-1,-6.689999998E-2
1.548506250E0,-1.449999958E-1,1.416999996E-1,3.619999811E-2
1.558432812E0,-2.280000001E-1,1.008000001E-1,-5.599999800E-3
1.568357812E0,-1.657999903E-1,1.241999939E-1,-1.858000010E-1
1.578284375E0,-1.921999902E-1,7.759999484E-2,-3.657999933E-1
1.588210937E0,-1.675999910E-1,7.270000130E-2,-2.516999841E-1
1.598137500E0,-6.209999695E-2,1.186999977E-1,3.170000017E-2
1.608062500E0,5.699999630E-3,1.570999920E-1,2.305999994E-1
1.617989062E0,1.837999970E-1,1.794999987E-1,2.989999950E-1
1.627915625E0,3.546999991E-1,2.122999877E-1,1.181999967E-1
1.637842187E0,3.388999999E-1,1.485999972E-1,7.809999585E-2
1.647768750E0,2.942999899E-1,1.532000005E-1,7.800000161E-2
1.657695312E0,3.346999884E-1,1.463999897E-1,5.399999674E-3
1.667621875E0,2.132999897E-1,1.109999940E-1,5.309999734E-2
1.677546875E0,9.239999950E-2,1.284999996E-1,1.348000020E-1
1.687473437E0,5.859999731E-2,1.782999933E-1,2.586999834E-1
1.697401562E0,3.049999848E-2,1.718999892E-1,3.319999874E-1
1.707326562E0,1.030000020E-2,2.468999922E-1,3.317999840E-1
1.717253125E0,-4.120000079E-2,2.446999997E-1,2.703999877E-1
1.727179687E0,-1.265999973E-1,3.058999777E-1,1.110999957E-1
1.737106250E0,-2.797999978E-1,2.543999851E-1,-1.511999965E-1
1.747032812E0,-3.046000004E-1,2.331999987E-1,-2.298999876E-1
1.756957812E0,-2.671000063E-1,1.961999983E-1,-2.775999904E-1
1.766884375E0,-9.119999409E-2,7.519999892E-2,-3.876000047E-1
1.776810937E0,1.727999896E-1,-9.420000017E-2,-4.276999831E-1
1.786737500E0,3.665999770E-1,-2.757000029E-1,-3.285000026E-1
1.796664062E0,4.848999977E-1,-4.125999808E-1,-2.644999921E-1
1.806590625E0,4.625999928E-1,-4.612999856E-1,-9.929999709E-2
1.816517187E0,2.264999896E-1,-4.202999771E-1,2.211999893E-1
1.826443750E0,-3.739999980E-2,-3.563999832E-1,3.427000046E-1
1.836368750E0,-1.569999903E-1,-2.078999877E-1,2.403999865E-1
1.846293750E0,-1.924999952E-1,-1.313000023E-1,1.468999982E-1
1.856220312E0,-5.529999733E-2,-2.159999870E-2,-1.253999919E-1
1.866148437E0,-2.246999890E-1,2.689999901E-2,-2.430000007E-1
1.876073437E0,-4.713999927E-1,1.301999986E-1,-1.149000004E-1
1.886000000E0,-5.465999842E-1,1.987999976E-1,6.059999764E-2
1.895926562E0,-4.912999868E-1,3.222999871E-1,2.296999991E-1
1.905853125E0,-1.353999972E-1,3.607999980E-1,4.280999899E-1
1.915778125E0,2.477999926E-1,4.851000011E-1,4.179999828E-1
1.925704687E0,2.608999908E-1,5.845000148E-1,4.688999951E-1
1.935632812E0,3.042999804E-1,6.596999764E-1,2.451999933E-1
