"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.430000000E-1,-4.665437341E-1,9.762663841E0,5.478699207E-1
9.479625000E-1,-4.497938752E-1,9.753096581E0,4.306307137E-1
9.529265620E-1,-4.689379334E-1,9.748308182E0,4.114866555E-1
9.578906250E-1,-4.354382753E-1,9.772240639E0,4.760918021E-1
9.628515620E-1,-5.120047927E-1,9.803345680E0,5.694081783E-1
9.678156250E-1,-5.311488509E-1,9.779414177E0,5.789849758E-1
9.727781250E-1,-5.622543097E-1,9.805740356E0,7.728003860E-1
9.777421870E-1,-5.143990517E-1,9.798557281E0,9.259431362E-1
9.827046870E-1,-5.670427084E-1,9.860768318E0,9.379045963E-1
9.876687500E-1,-5.766099691E-1,9.832057953E0,9.379045963E-1
9.926312500E-1,-5.861771703E-1,9.805740356E0,9.594427943E-1
9.975937500E-1,-5.550717115E-1,9.827268600E0,9.666158557E-1
1.002557812E0,-6.077154279E-1,9.793779373E0,9.690100551E-1
1.007520312E0,-5.574659705E-1,9.772240639E0,9.809715152E-1
1.012484375E0,-5.359276533E-1,9.767452240E0,9.809715152E-1
1.017446875E0,-5.526775122E-1,9.774634361E0,9.737984538E-1
1.022410937E0,-4.115057886E-1,9.800951958E0,1.047970772E0
1.027373437E0,-4.785051644E-1,9.765057564E0,1.093441486E0
1.032335937E0,-4.210730195E-1,9.786596298E0,1.189152122E0
1.037300000E0,-4.186884165E-1,9.800951958E0,1.162825465E0
1.042262500E0,-3.875733614E-1,9.760279655E0,1.081470490E0
1.047226562E0,-3.827945590E-1,9.824884415E0,1.189152122E0
1.052189062E0,-3.492948711E-1,9.867951393E0,1.270507097E0
1.057153125E0,-2.248634249E-1,9.855990410E0,1.308795214E0
1.062115625E0,-1.865849346E-1,9.851201057E0,1.438005328E0
1.067079687E0,-1.339412183E-1,9.848807335E0,1.461928368E0
1.072042187E0,-9.086474776E-2,9.844018936E0,1.519360304E0
1.077004687E0,-4.300943762E-2,9.812912941E0,1.572004199E0
1.081968750E0,-1.195855886E-1,9.798557281E0,1.703608632E0
1.086931250E0,-1.482968628E-1,9.820096016E0,1.765819550E0
1.091893750E0,-1.674408913E-1,9.817702293E0,1.885462523E0
1.096857812E0,-1.506910622E-1,9.827268600E0,1.859145522E0
1.101820312E0,-1.459026486E-1,9.882307053E0,1.902212381E0
1.106784375E0,-2.224692255E-1,9.896661758E0,1.880674243E0
1.111746875E0,-2.129019946E-1,9.788990021E0,1.689252973E0
1.116710937E0,-1.961521655E-1,9.796163559E0,1.653359175E0
1.121675000E0,-3.038241863E-1,9.848807335E0,1.595927000E0
1.126637500E0,-3.134010136E-1,9.839240074E0,1.555254221E0
1.131600000E0,-4.091115892E-1,9.903844833E0,1.521754622E0
1.136562500E0,-4.378228784E-1,9.915806770E0,1.430822849E0
1.141526562E0,-4.808993638E-1,9.956489563E0,1.344689012E0
1.146489062E0,-5.359276533E-1,9.966055870E0,1.339900613E0
1.151453125E0,-5.478987098E-1,9.985199928E0,1.217863441E0
1.156415625E0,-5.502929091E-1,9.954094887E0,1.213074923E0
1.161378125E0,-5.072164536E-1,9.985199928E0,1.040797710E0
1.166342187E0,-4.545727372E-1,9.954094887E0,1.024047971E0
1.171304687E0,-4.569669068E-1,9.944517136E0,1.088653088E0
1.176268750E0,-5.311488509E-1,9.901451111E0,1.036009431E0
1.181231250E0,-5.407160521E-1,9.903844833E0,1.103008628E0
1.186193750E0,-5.239662528E-1,9.901451111E0,1.143691063E0
1.191157812E0,-4.737167358E-1,9.901451111E0,1.129325747E0
1.196120312E0,-3.923617899E-1,9.954094887E0,1.047970772E0
1.201084375E0,-3.827945590E-1,9.903844833E0,9.618370533E-1
1.206046875E0,-4.402170777E-1,9.930162430E0,8.421939611E-1
1.211010937E0,-3.708235621E-1,9.805740356E0,7.991175056E-1
1.215973437E0,-4.162942171E-1,9.879913330E0,8.015117049E-1
1.220935937E0,-3.277566135E-1,9.800951958E0,7.512621880E-1
1.225900000E0,-2.081135809E-1,9.765057564E0,7.369065285E-1
1.230862500E0,-1.339412183E-1,9.865556717E0,7.680120468E-1
1.235826562E0,-9.086474776E-2,9.779414177E0,7.895502448E-1
1.240789062E0,-2.147120051E-2,9.788990021E0,9.020106792E-1
1.245753125E0,4.845864139E-3,9.805740356E0,1.062336087E0
1.250715625E0,5.270116776E-2,9.767452240E0,1.165219545E0
1.255678125E0,1.316523552E-1,9.808135033E0,1.296824098E0
1.260642187E0,2.465070039E-1,9.812912941E0,1.399717450E0
1.265604687E0,2.608722150E-1,9.879913330E0,1.457149386E0
1.270568750E0,1.747288406E-1,9.839240074E0,1.445178509E0
1.275531250E0,1.029410958E-1,9.891883850E0,1.457149386E0
1.280495312E0,7.184520364E-2,9.872738838E0,1.371006131E0
1.285457812E0,-3.583640978E-2,9.860768318E0,1.325544953E0
1.290420312E0,-5.258624628E-2,9.908634186E0,1.222651720E0
1.295384375E0,-5.019204319E-2,9.844018936E0,1.210690260E0
1.300346875E0,-8.129751682E-2,9.817702293E0,1.215469122E0
1.305310937E0,-9.325893968E-2,9.824884415E0,1.260939837E0
1.310273437E0,-7.650911063E-2,9.784202576E0,1.354256272E0
1.315237500E0,-2.336740959E-3,9.834450722E0,1.406899929E0
1.320200000E0,4.313393682E-2,9.808135033E0,1.394928932E0
1.325162500E0,5.509537086E-2,9.815307617E0,1.430822849E0
1.330126562E0,5.988377333E-2,9.839240074E0,1.366217613E0
1.335089062E0,4.845864139E-3,9.887095451E0,1.423649788E0
1.340053125E0,-5.736507475E-2,9.867951393E0,1.385361671E0
1.345015625E0,-7.650911063E-2,9.946911812E0,1.313573956E0
1.349978125E0,-2.176903933E-1,9.875133514E0,1.172402263E0
1.354942187E0,-3.253624141E-1,9.875133514E0,1.239401579E0
1.359904687E0,-3.492948711E-1,9.800951958E0,1.241795778E0
1.364868750E0,-4.234672487E-1,9.913412094E0,1.320756555E0
1.369831250E0,-5.287546515E-1,9.999555588E0,1.572004199E0
1.374795312E0,-6.292536855E-1,1.000913239E1,1.851962924E0
1.379757812E0,-7.441083193E-1,9.963662148E0,1.962029219E0
1.384720312E0,-7.847905755E-1,1.000913239E1,1.928529382E0
1.389684375E0,-8.135018349E-1,9.987594604E0,1.804107547E0
1.394646875E0,-7.369257212E-1,1.001870060E1,1.509793162E0
1.399610937E0,-7.345410585E-1,1.001391125E1,1.270507097E0
1.404573437E0,-6.507919431E-1,9.987594604E0,1.033615232E0
1.409537500E0,-6.412150860E-1,9.908634186E0,8.804724813E-1
1.414500000E0,-6.053212285E-1,9.915806770E0,8.302229643E-1
1.419462500E0,-5.072164536E-1,9.896661758E0,7.751946449E-1
1.424426562E0,-4.426112771E-1,9.872738838E0,8.063001037E-1
1.429389062E0,-2.822955251E-1,9.836845398E0,8.254441619E-1
1.434353125E0,-2.679399252E-1,9.810519218E0,8.924434781E-1
1.439315625E0,-1.339412183E-1,9.834450722E0,8.732994199E-1
1.444279687E0,6.227797270E-2,9.800951958E0,9.714042544E-1
1.449242187E0,1.101237014E-1,9.803345680E0,9.211547375E-1
1.454204687E0,2.895835042E-1,9.717203140E0,8.804724813E-1
1.459168750E0,4.379377961E-1,9.690885544E0,7.967232466E-1
