"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.841796870E-1,-3.618067503E-2,2.375567704E-1,4.961971194E-2
7.891421870E-1,-1.682497375E-2,1.594881862E-1,7.871435024E-3
7.941062500E-1,-1.682497375E-2,1.594881862E-1,7.871435024E-3
7.990687500E-1,-7.330382941E-4,7.642796636E-2,-4.012512043E-2
8.040328120E-1,-7.330382941E-4,7.642796636E-2,-4.012512043E-2
8.089953120E-1,8.918632753E-3,1.864011586E-2,-8.367108554E-2
8.139578120E-1,8.918632753E-3,1.864011586E-2,-8.367108554E-2
8.189218750E-1,1.188569237E-2,-9.861109778E-3,-1.074948311E-1
8.238843750E-1,1.188569237E-2,-9.861109778E-3,-1.074948311E-1
8.288484370E-1,8.674286306E-3,-1.282817032E-2,-1.127482727E-1
8.338109370E-1,8.674286306E-3,-1.282817032E-2,-1.127482727E-1
8.387734370E-1,2.408554312E-3,-8.918632753E-3,-1.089783609E-1
8.437359370E-1,2.408554312E-3,-8.918632753E-3,-1.089783609E-1
8.487000000E-1,8.203047328E-4,-6.318091881E-3,-1.017526984E-1
8.536625000E-1,8.203047328E-4,-6.318091881E-3,-1.017526984E-1
8.586265620E-1,-8.115780540E-3,3.817034885E-2,-9.302604944E-2
8.635890620E-1,-8.115780540E-3,3.817034885E-2,-9.302604944E-2
8.685531250E-1,-3.082251363E-2,1.164832711E-1,-8.100073040E-2
8.735171870E-1,-3.082251363E-2,1.164832711E-1,-8.100073040E-2
8.784781250E-1,-5.750859901E-2,1.531177312E-1,-7.459536940E-2
8.834421870E-1,-5.750859901E-2,1.531177312E-1,-7.459536940E-2
8.884046870E-1,-7.106980681E-2,1.775523424E-1,-7.127925009E-2
8.933671870E-1,-7.106980681E-2,1.775523424E-1,-7.127925009E-2
8.983312500E-1,-6.803293526E-2,1.524021477E-1,-7.562511414E-2
9.032937500E-1,-6.803293526E-2,1.524021477E-1,-7.562511414E-2
9.082578120E-1,-5.764822662E-2,1.206546128E-1,-8.299040794E-2
9.132203120E-1,-5.764822662E-2,1.206546128E-1,-8.299040794E-2
9.181843750E-1,-4.836307466E-2,9.182177484E-2,-9.578366578E-2
9.231468750E-1,-4.836307466E-2,9.182177484E-2,-9.578366578E-2
9.281093750E-1,-4.159119725E-2,4.497713596E-2,-1.181064323E-1
9.330734370E-1,-4.159119725E-2,4.497713596E-2,-1.181064323E-1
9.380359370E-1,-3.471459821E-2,-8.709193207E-3,-1.476548612E-1
9.430000000E-1,-3.471459821E-2,-8.709193207E-3,-1.476548612E-1
9.479625000E-1,-2.965314314E-2,-5.272639543E-2,-1.763480604E-1
9.529265620E-1,-2.965314314E-2,-5.272639543E-2,-1.763480604E-1
9.578906250E-1,-2.305579931E-2,-8.672541380E-2,-1.997354776E-1
9.628515620E-1,-2.305579931E-2,-8.672541380E-2,-1.997354776E-1
9.678156250E-1,-6.789330859E-3,-1.338667572E-1,-2.217266262E-1
9.727781250E-1,-6.789330859E-3,-1.338667572E-1,-2.217266262E-1
9.777421870E-1,1.415462047E-2,-2.024756521E-1,-2.421644330E-1
9.827046870E-1,1.415462047E-2,-2.024756521E-1,-2.421644330E-1
9.876687500E-1,3.157300502E-2,-2.400351316E-1,-2.577502131E-1
9.926312500E-1,3.157300502E-2,-2.400351316E-1,-2.577502131E-1
9.975937500E-1,4.457570985E-2,-2.725157142E-1,-2.695137560E-1
1.002557812E0,4.457570985E-2,-2.725157142E-1,-2.695137560E-1
1.007520312E0,5.433209985E-2,-2.732836604E-1,-2.750813365E-1
1.012484375E0,5.433209985E-2,-2.732836604E-1,-2.750813365E-1
1.017446875E0,5.942846090E-2,-2.528109550E-1,-2.723586261E-1
1.022410937E0,5.942846090E-2,-2.528109550E-1,-2.723586261E-1
1.027373437E0,5.911429971E-2,-2.110626698E-1,-2.613979578E-1
