"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.291186458E0,2.784775756E-2,9.743089788E-3,2.119459212E-2
1.301171458E0,2.044600807E-2,1.394621842E-2,1.360741816E-2
1.311181458E0,9.814070538E-3,1.494234707E-2,9.200301953E-3
1.321216458E0,5.648323335E-3,1.024716999E-3,2.811678685E-3
1.331199458E0,4.608713556E-3,-1.285427622E-2,2.869587159E-3
1.341209458E0,3.538755002E-3,-1.499513350E-2,2.869950607E-3
1.351248458E0,1.382446382E-3,-2.460029908E-2,6.093084347E-3
1.361257458E0,5.572914612E-3,-3.095597588E-2,1.365450770E-2
1.371267458E0,1.614787430E-2,-1.914461143E-2,1.907492243E-2
1.381247458E0,2.460883744E-2,1.148119627E-4,2.122834697E-2
1.391284458E0,1.818499342E-2,1.608051173E-2,1.893644035E-2
1.401294458E0,1.284192316E-2,2.885105275E-2,1.667056978E-2
1.411299458E0,1.281247195E-2,4.698913544E-2,1.551163290E-2
1.421311458E0,9.561118670E-3,5.978653580E-2,1.754266769E-2
1.431321458E0,3.187175142E-3,5.548200011E-2,1.641460881E-2
1.441324458E0,-2.346868999E-2,2.014656924E-2,2.159744501E-2
1.451340458E0,-3.947338834E-2,-1.299600024E-2,2.797652781E-2
1.461350458E0,-2.984046936E-2,-3.214652836E-2,3.033102863E-2
1.471334458E0,-1.806710288E-2,-2.144375816E-2,2.297593839E-2
1.481336458E0,-9.404700832E-4,-3.248935798E-3,1.349220704E-2
1.491346458E0,2.144978940E-2,2.353554033E-2,1.043969113E-2
1.501364458E0,2.892598696E-2,5.236008391E-2,2.912636148E-3
1.511364458E0,2.674886771E-2,6.835591793E-2,2.800045302E-3
1.521374458E0,3.091541305E-2,5.774837360E-2,1.465182845E-2
1.531393458E0,3.293605149E-2,3.220470995E-2,3.082775883E-2
1.541392458E0,2.970330976E-2,2.366552502E-2,3.510549292E-2
1.551402458E0,3.186476976E-2,7.673119660E-3,3.628916666E-2
1.561432458E0,2.553793229E-2,-5.181031302E-3,3.200713545E-2
1.571449458E0,1.387619227E-2,-1.913013496E-2,2.765871398E-2
1.581459458E0,-3.086646087E-3,-1.925702021E-2,1.676583849E-2
1.591452458E0,-1.794836111E-2,-1.616406441E-2,8.019391447E-3
1.601478458E0,-1.358279679E-2,-2.257102169E-2,6.294134655E-4
