"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.182463458E0,-1.335522766E0,9.719138947E0,1.101708984E-1
1.192548458E0,-1.292861481E0,9.742789764E0,1.019380188E-1
1.202586458E0,-1.308129730E0,9.756860504E0,1.125659180E-1
1.212628458E0,-1.318308563E0,9.798324280E0,1.282832336E-1
1.222713458E0,-1.324445801E0,9.844877472E0,1.127156067E-1
1.232765458E0,-1.344803467E0,9.853110352E0,1.992356873E-1
1.242822458E0,-1.363514557E0,9.886790314E0,2.496807861E-1
1.252876458E0,-1.377435608E0,9.860894165E0,3.228785706E-1
1.262921458E0,-1.354084167E0,9.808503113E0,2.921923828E-1
1.272971458E0,-1.296903076E0,9.810449066E0,2.300715637E-1
1.283010458E0,-1.286873932E0,9.846524048E0,1.555265808E-1
1.293095458E0,-1.264570312E0,9.852511597E0,1.380130005E-1
1.303123458E0,-1.264869690E0,9.808952179E0,1.672023010E-1
1.313208458E0,-1.269510040E0,9.844278717E0,1.778302002E-1
1.323254458E0,-1.276994476E0,9.858948212E0,2.004331970E-1
1.333318458E0,-1.329535217E0,9.856104126E0,2.691403198E-1
1.343343458E0,-1.317709808E0,9.881251831E0,2.923420715E-1
1.353405458E0,-1.305585022E0,9.862540741E0,2.847079468E-1
1.363483458E0,-1.313069458E0,9.882149963E0,1.936972046E-1
1.373536458E0,-1.273401947E0,9.801467743E0,1.568737793E-1
1.383586458E0,-1.248553619E0,9.806557159E0,1.685494995E-1
1.393620458E0,-1.267414398E0,9.800419922E0,2.089654541E-1
1.403676458E0,-1.249302063E0,9.822573853E0,2.185455322E-1
1.413739458E0,-1.241518250E0,9.783505096E0,2.062710571E-1
1.423813458E0,-1.249152374E0,9.758357391E0,1.484912109E-1
1.433871458E0,-1.201251984E0,9.810299377E0,1.866618347E-1
1.443920458E0,-1.185534668E0,9.822124786E0,2.474354553E-1
1.453952458E0,-1.195863190E0,9.792336731E0,2.182461548E-1
1.464038458E0,-1.186283112E0,9.774074707E0,2.032772827E-1
1.474070458E0,-1.176553345E0,9.749376068E0,1.911524963E-1
1.484149458E0,-1.194815369E0,9.784852295E0,2.050735474E-1
1.494174458E0,-1.238674164E0,9.767189026E0,2.721340942E-1
1.504254458E0,-1.230291595E0,9.823322296E0,2.905458069E-1
1.514318458E0,-1.312620392E0,9.870174866E0,3.125500488E-1
1.524371458E0,-1.315015411E0,9.893077240E0,3.600013733E-1
1.534429458E0,-1.250200195E0,9.869875488E0,3.661386108E-1
1.544454458E0,-1.220711517E0,9.884395294E0,3.129991150E-1
1.554510458E0,-1.191821594E0,9.862540741E0,2.204914856E-1
1.564587458E0,-1.218466187E0,9.715247040E0,1.462458801E-1
1.574649458E0,-1.253643036E0,9.738748169E0,1.357676697E-1
1.584676458E0,-1.257085876E0,9.733059998E0,8.277786255E-2
1.594763458E0,-1.246308289E0,9.761949921E0,5.403762817E-2
1.604818458E0,-1.174008636E0,9.774224396E0,7.454498291E-2
1.614843458E0,-1.134490814E0,9.791139221E0,1.868115234E-1
1.624908458E0,-1.055006104E0,9.851763153E0,3.333567810E-1
1.634985458E0,-1.099313965E0,9.910291443E0,4.270619202E-1
1.645010458E0,-1.203796692E0,9.901310120E0,4.487667847E-1
1.655066458E0,-1.258882141E0,9.941875763E0,4.222718811E-1
1.665153458E0,-1.258882141E0,9.916278992E0,3.275189209E-1
1.675183458E0,-1.314266968E0,9.885443115E0,2.224374390E-1
1.685232458E0,-1.320254517E0,9.876012726E0,1.814227295E-1
1.695318458E0,-1.268611908E0,9.880653076E0,1.773811340E-1
1.705374458E0,-1.189426575E0,9.805060272E0,2.270777893E-1
1.715398458E0,-1.112935638E0,9.771529999E0,2.089654541E-1
1.725465458E0,-1.105750580E0,9.753567352E0,1.910028076E-1
1.735509458E0,-1.145418091E0,9.718989258E0,1.782792664E-1
1.745596458E0,-1.116677856E0,9.704469452E0,1.784289551E-1
1.755651458E0,-1.133742371E0,9.752519531E0,2.085163879E-1
1.765676458E0,-1.188678131E0,9.781858521E0,2.453398132E-1
1.775738458E0,-1.189276886E0,9.797126770E0,2.435435486E-1
1.785820458E0,-1.164129181E0,9.747579803E0,2.640509033E-1
1.795877458E0,-1.191372528E0,9.774523773E0,2.670446777E-1
1.805932458E0,-1.203946381E0,9.819729767E0,2.701881409E-1
1.815957458E0,-1.236129456E0,9.823172607E0,2.665956116E-1
1.826040458E0,-1.296603699E0,9.901908875E0,2.838098145E-1
1.836099458E0,-1.177750854E0,9.834998016E0,2.308200073E-1
1.846124458E0,-1.165476379E0,9.796977081E0,1.049317932E-1
1.856180458E0,-1.132844238E0,9.799521790E0,5.418731689E-2
1.866266458E0,-1.123264160E0,9.791288910E0,1.287322998E-1
1.876321458E0,-1.121767273E0,9.807754669E0,1.751358032E-1
1.886380458E0,-1.211879883E0,9.807006226E0,1.764830017E-1
1.896406458E0,-1.238674164E0,9.797875214E0,1.480421448E-1
1.906463458E0,-1.238524475E0,9.799821167E0,9.580078125E-2
1.916547458E0,-1.186133423E0,9.805509338E0,1.161584473E-1
1.926600458E0,-1.125958557E0,9.775272217E0,1.179547119E-1
1.936653458E0,-1.151106262E0,9.760303345E0,1.766326904E-1
1.946684458E0,-1.103954315E0,9.752818909E0,2.216889954E-1
1.956740458E0,-1.094972992E0,9.746232605E0,2.237846375E-1
1.966820458E0,-1.117126923E0,9.743538208E0,2.212399292E-1
1.976882458E0,-1.169667664E0,9.785600739E0,2.127076721E-1
1.986907458E0,-1.193917236E0,9.802665253E0,2.398013306E-1
1.996987458E0,-1.264121246E0,9.787247314E0,2.076182556E-1
