"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.551187500E-1,-1.770081222E-1,1.001630592E1,5.120555878E0
6.600796880E-1,-2.147120051E-2,9.956489563E0,4.708992481E0
6.650453130E-1,3.446213901E-1,9.975632668E0,3.768617153E0
6.700078130E-1,7.178965807E-1,1.014312172E1,2.890443087E0
6.749718750E-1,7.490020990E-1,1.019815922E1,2.072104931E0
6.799328130E-1,6.126092076E-1,1.021969795E1,1.466716647E0
6.848968750E-1,3.637558520E-1,1.020055389E1,1.184363604E0
6.898609380E-1,1.101237014E-1,1.016705418E1,1.028836250E0
6.948234380E-1,-9.804734588E-2,1.021251583E1,9.905482531E-1
6.997875000E-1,-1.817965209E-1,1.021730328E1,1.074297428E0
7.047500000E-1,-2.583630979E-1,1.013834286E1,1.210690260E0
7.097125000E-1,-3.157951832E-1,1.017184258E1,1.313573956E0
7.146765630E-1,-2.822955251E-1,1.014791012E1,1.392544270E0
7.196390630E-1,-3.086126149E-1,1.015987110E1,1.363823533E0
7.246031250E-1,-2.727187276E-1,1.007613182E1,1.411678791E0
7.295656250E-1,-2.535746992E-1,1.004263210E1,1.610292196E0
7.345296880E-1,-1.770081222E-1,1.007613182E1,1.588753939E0
7.394921880E-1,-1.961521655E-1,9.963662148E0,1.538504362E0
7.444546880E-1,-1.626524776E-1,9.908634186E0,1.591148138E0
7.494171880E-1,-4.540364072E-2,9.877518654E0,1.461928368E0
7.543812500E-1,1.920149848E-2,9.772240639E0,1.402111530E0
7.593437500E-1,4.552813992E-2,9.690885544E0,1.339900613E0
7.643062500E-1,8.620083332E-2,9.647809982E0,1.304006696E0
7.692718750E-1,1.507963985E-1,9.628664970E0,1.471505165E0
7.742343750E-1,1.603731960E-1,9.621492386E0,1.488254905E0
7.791968750E-1,2.082285136E-1,9.604742050E0,1.619859338E0
7.841609380E-1,2.608722150E-1,9.590386391E0,1.749069691E0
7.891234380E-1,2.656510174E-1,9.554492950E0,1.830424666E0
7.940875000E-1,3.278715611E-1,9.456387520E0,1.799319267E0
7.990500000E-1,3.709384501E-1,9.497060776E0,1.744281292E0
8.040125000E-1,4.307551980E-1,9.465954781E0,1.684464574E0
8.089765630E-1,4.618606567E-1,9.470744133E0,1.562427282E0
8.139390630E-1,5.575808883E-1,9.504242897E0,1.421255589E0
8.189015630E-1,5.527924299E-1,9.480310440E0,1.272901297E0
8.238640630E-1,4.738316536E-1,9.492281914E0,1.320756555E0
8.288281250E-1,3.828999102E-1,9.463561058E0,1.306401014E0
8.337906250E-1,3.924766779E-1,9.530560493E0,1.272901297E0
8.387546880E-1,3.757268786E-1,9.537743568E0,1.201113582E0
8.437171880E-1,4.283609986E-1,9.513810158E0,1.205901980E0
8.486796880E-1,4.331493974E-1,9.451600075E0,1.062336087E0
8.536453130E-1,4.355435967E-1,9.465954781E0,1.093441486E0
8.586078130E-1,4.857930839E-1,9.475532532E0,1.038403511E0
8.635718750E-1,4.451108277E-1,9.468349457E0,9.929425120E-1
8.685343750E-1,4.762258530E-1,9.583204269E0,9.905482531E-1
8.734968750E-1,4.977545440E-1,9.568848610E0,9.953366518E-1
8.784609380E-1,5.121101737E-1,9.561666489E0,1.093441486E0
8.834234380E-1,4.881873131E-1,9.564060211E0,9.905482531E-1
8.883859380E-1,5.384368300E-1,9.465954781E0,9.379045963E-1
8.933484380E-1,4.762258530E-1,9.528165817E0,9.187605381E-1
8.983125000E-1,5.001487136E-1,9.487493515E0,9.977213144E-1
9.032765630E-1,5.121101737E-1,9.597559929E0,1.002509713E0
9.082390630E-1,4.235821664E-1,9.590386391E0,1.043192029E0
9.132031250E-1,3.996497095E-1,9.616703987E0,1.062336087E0
9.181640630E-1,2.824008763E-1,9.607136726E0,1.083864689E0
9.231281250E-1,2.584780157E-1,9.619097710E0,1.055153489E0
9.280906250E-1,3.206889629E-1,9.635848045E0,1.004903913E0
9.330546880E-1,3.398329914E-1,9.650202751E0,1.002509713E0
9.380187500E-1,3.757268786E-1,9.638241768E0,9.594427943E-1
9.429812500E-1,3.709384501E-1,9.666953087E0,1.014471173E0
9.479453130E-1,3.805056810E-1,9.678915024E0,1.181969523E0
9.529062500E-1,3.350445926E-1,9.650202751E0,1.217863441E0
9.578703130E-1,3.589770198E-1,9.643030167E0,1.301612496E0
9.628328130E-1,4.211879671E-1,9.659780502E0,1.287256956E0
9.677968750E-1,4.738316536E-1,9.640635490E0,1.344689012E0
