"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.062096875E0,-1.384000033E-1,4.411999881E-1,-7.549999654E-2
1.072023438E0,-2.001999915E-1,4.824999869E-1,-1.118000001E-1
1.081950000E0,-4.144999981E-1,5.661000013E-1,-2.201999873E-1
1.091875000E0,-5.731999874E-1,6.155999899E-1,-1.862999946E-1
1.101801563E0,-5.388999581E-1,5.515999794E-1,-1.539999992E-1
1.111728125E0,-4.214999974E-1,5.619999766E-1,-1.286000013E-1
1.121654688E0,-2.717999816E-1,4.696999788E-1,-1.516000032E-1
1.131581250E0,-1.720999926E-1,4.035999775E-1,-3.529999778E-2
1.141507813E0,-2.345999926E-1,4.404999912E-1,1.916999966E-1
1.151434375E0,-1.599999964E-1,5.314999819E-1,4.352999926E-1
1.161359375E0,2.319999970E-2,4.178999960E-1,4.325999916E-1
1.171287500E0,2.286999971E-1,3.378999829E-1,4.305000007E-1
1.181214063E0,3.946999907E-1,3.610000014E-1,2.342999876E-1
1.191139063E0,4.083999991E-1,2.707999945E-1,1.568999887E-1
1.201065625E0,4.371999800E-1,2.500999868E-1,4.749999940E-2
1.210992188E0,3.468999863E-1,1.841000021E-1,-1.551000029E-1
1.220918750E0,1.943999976E-1,1.197999939E-1,-2.827000022E-1
1.230843750E0,7.620000094E-2,8.109999448E-2,-4.170999825E-1
1.240770313E0,1.169999968E-2,7.939999551E-2,-3.610000014E-1
1.250696875E0,-3.759999946E-2,1.229999959E-1,-9.459999949E-2
1.260623438E0,3.709999844E-2,2.221999913E-1,4.349999875E-2
1.270550000E0,8.889999986E-2,2.197999954E-1,1.287000030E-1
1.280476563E0,-1.197999939E-1,3.692999780E-1,5.019999743E-1
1.290401563E0,-1.567000002E-1,3.901000023E-1,5.242999792E-1
1.300328125E0,-1.632999927E-1,4.028999805E-1,1.633999944E-1
1.310254688E0,-9.049999714E-2,4.323000014E-1,-2.807999849E-1
1.320181250E0,-8.599999361E-3,3.559999764E-1,-4.813999832E-1
1.330107813E0,-3.109999932E-2,3.120000064E-1,-2.031999975E-1
1.340034375E0,-9.889999777E-2,3.912999928E-1,2.737999856E-1
1.349959375E0,-1.967999935E-1,3.709000051E-1,3.536999822E-1
1.359885938E0,-1.116999984E-1,2.184999883E-1,8.619999886E-2
1.369812500E0,-7.739999890E-2,1.711999923E-1,-3.114999831E-1
1.379739063E0,-1.433999985E-1,1.841000021E-1,-4.819999933E-1
1.389665625E0,-1.451999992E-1,1.982999891E-1,-3.932999969E-1
1.399592188E0,-1.140000001E-1,6.969999522E-2,-5.460000038E-2
1.409518750E0,-5.900000036E-2,1.152999997E-1,1.723999977E-1
1.419445313E0,5.299999937E-2,6.889999658E-2,2.208999991E-1
1.429370313E0,4.910000041E-2,1.259000003E-1,2.867999971E-1
1.439296875E0,4.999999655E-4,1.253999919E-1,1.305999905E-1
1.449223438E0,1.919999905E-2,1.812999994E-1,1.125999987E-1
1.459150000E0,-5.279999971E-2,8.509999514E-2,-6.269999593E-2
1.469076563E0,-7.039999962E-2,5.609999970E-2,-1.066999957E-1
1.479003125E0,-2.469999902E-2,8.240000159E-2,-6.949999928E-2
1.488928125E0,-8.200000040E-3,5.089999735E-2,-2.639999986E-2
1.498854688E0,8.599999547E-2,-2.139999904E-2,-9.300000034E-3
1.508781250E0,2.393999994E-1,8.219999820E-2,-1.549999975E-2
1.518707813E0,2.162999958E-1,3.139999881E-2,5.869999900E-2
1.528634375E0,9.319999814E-2,7.100000046E-3,2.717999816E-1
1.538560938E0,7.739999890E-2,1.204999983E-1,2.231999934E-1
1.548485938E0,1.873999983E-1,1.430999935E-1,2.730000019E-2
1.558412500E0,1.662999988E-1,9.109999985E-2,4.409999773E-2
1.568339063E0,-8.100000210E-3,2.513000071E-1,2.733999789E-1
1.578265625E0,-2.421000004E-1,3.966999948E-1,2.929999828E-1
1.588192188E0,-3.443999887E-1,4.548999965E-1,2.610999942E-1
1.598118750E0,-2.724999785E-1,4.453999996E-1,1.899999939E-2
1.608045313E0,-1.709000021E-1,4.053999782E-1,-3.152000010E-1
1.617971875E0,-1.265999973E-1,3.897999823E-1,-4.590999782E-1
1.627896875E0,-1.999999949E-4,4.303999841E-1,-3.375000060E-1
1.637823438E0,1.239999942E-2,5.895999670E-1,-1.365000010E-1
