"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.391048000E0,1.348185819E-2,2.074398100E-2,1.214564592E-2
1.401058000E0,1.669283025E-2,2.715607733E-2,1.001804601E-2
1.411058000E0,1.566802152E-2,1.967335120E-2,7.907662541E-3
1.421094000E0,6.054461934E-3,8.963205852E-3,1.104277279E-2
1.431104000E0,-6.753477268E-3,1.209375355E-2,9.795613587E-3
1.441112000E0,-1.102028415E-2,1.633639634E-2,8.650812320E-3
1.451093000E0,-7.811698131E-3,1.848383434E-2,7.610620931E-3
1.461103000E0,-5.679039285E-3,1.956214942E-2,7.632458583E-3
1.471134000E0,-8.863082156E-3,2.380275913E-2,4.366928246E-3
1.481116000E0,-1.528432127E-2,2.270581387E-2,5.356389564E-3
1.491126000E0,-1.318628248E-2,1.846340112E-2,9.677634574E-3
1.501127000E0,-2.594579710E-3,2.600784414E-2,1.511298679E-2
1.511153000E0,6.964988075E-3,3.566990048E-2,1.732042804E-2
1.521163000E0,1.760165393E-2,3.253935277E-2,2.174500190E-2
1.531150000E0,2.186494321E-2,3.683046252E-2,2.177533135E-2
1.541184000E0,2.296097018E-2,3.576167300E-2,1.965632290E-2
1.551194000E0,1.757206209E-2,4.641245678E-2,2.167153545E-2
1.561200000E0,3.711161669E-3,5.913066491E-2,1.716022007E-2
1.571210000E0,-3.736852435E-3,6.655065715E-2,1.382665802E-2
1.581220000E0,-5.841548089E-3,5.906584486E-2,1.276858430E-2
1.591195000E0,-4.697656259E-3,4.838959500E-2,9.634941816E-3
1.601209000E0,-1.103579253E-2,4.407298192E-2,5.304448307E-3
1.611219000E0,-1.737518050E-2,2.695791237E-2,3.171788994E-3
1.621218000E0,-1.195535343E-2,1.203532144E-2,1.096421111E-4
1.631249000E0,-3.426124109E-3,1.101670414E-2,1.290601911E-3
1.641259000E0,8.458515513E-4,1.530385762E-2,2.554312814E-4
1.651240000E0,-2.396733966E-3,2.702555433E-2,1.576911600E-4
1.661267000E0,-9.879360907E-3,2.912070416E-2,5.153619713E-5
1.671277000E0,-6.665724795E-3,2.486896329E-2,1.135878920E-4
1.681264000E0,-6.688884925E-3,2.487660758E-2,2.245493932E-3
1.691296000E0,-1.312985923E-2,3.018625639E-2,4.269788507E-3
1.701306000E0,-9.938859381E-3,3.020676039E-2,5.378728732E-3
1.711301000E0,-3.567513078E-3,3.451628610E-2,7.575303782E-3
1.721295000E0,-3.555616364E-3,3.771051764E-2,5.423653405E-3
1.731305000E0,-4.578003660E-3,2.916043811E-2,3.316294169E-3
1.741339000E0,-8.787305094E-3,1.845584996E-2,1.125301496E-4
1.751326000E0,-9.851241484E-3,1.845045015E-2,9.809281619E-5
1.761336000E0,-1.379193855E-3,2.704713121E-2,4.436914809E-3
1.771362000E0,-7.819782011E-3,3.128955141E-2,6.470504683E-3
1.781351000E0,-2.167824656E-2,2.694886737E-2,6.311969832E-3
1.791361000E0,-3.451281786E-2,2.155729942E-2,9.380197152E-3
1.801354000E0,-3.132302314E-2,1.838034019E-2,1.157043129E-2
1.811383000E0,-2.068635821E-2,2.484649047E-2,1.381068211E-2
1.821393000E0,-6.791814696E-3,2.810944803E-2,1.077086199E-2
1.831408000E0,-1.449537929E-3,1.746985316E-2,1.196566690E-2
1.841413000E0,-6.699959282E-3,1.420042943E-3,7.704875432E-3
1.851423000E0,-8.794712834E-3,-1.033301838E-2,6.669981871E-3
1.861431000E0,-4.502651747E-3,-1.458281092E-2,5.676088855E-3
1.871418000E0,-4.507977981E-3,-2.204525284E-2,7.849760354E-3
1.881428000E0,-1.418422069E-2,-1.887538284E-2,1.304738317E-2
1.891454000E0,-2.171442844E-2,-3.970982973E-3,1.394497044E-2
1.901452000E0,-1.641962491E-2,1.632875763E-2,1.284568477E-2
1.911462000E0,-1.497667283E-3,2.174642496E-2,1.407739706E-2
1.921445000E0,1.564483345E-2,1.222056616E-2,1.113806665E-2
1.931470000E0,2.104838938E-2,4.989257432E-4,8.059985004E-3
1.941480000E0,1.901550591E-2,-1.553732343E-2,2.773004351E-3
1.951499000E0,1.054264978E-2,-2.306667902E-2,-1.572579728E-3
1.961491000E0,3.029823769E-3,-1.243072283E-2,-6.543258205E-4
1.971501000E0,5.082589108E-3,-8.128653280E-3,5.760696717E-3
1.981521000E0,-3.686601121E-4,-3.854190698E-3,1.528490707E-2
1.991509000E0,-1.006150059E-2,5.718277767E-3,2.045570128E-2
2.001519000E0,-1.643651724E-2,3.456885170E-4,1.933500916E-2
2.011545000E0,-1.224574074E-2,-8.148425259E-3,2.371038496E-2
2.021537000E0,-4.681762948E-4,-7.030961569E-3,2.064988017E-2
2.031547000E0,1.762601547E-3,2.547323005E-3,9.949818254E-3
2.041536000E0,-5.601073150E-3,-2.857047832E-3,1.338785747E-3
2.051560000E0,-1.408111025E-2,-8.252345026E-3,-3.016015282E-3
2.061570000E0,-8.714336902E-3,-6.101137027E-3,-6.161969621E-3
2.071590000E0,9.316676296E-4,3.335033252E-4,-1.140642446E-2
2.081583000E0,3.070984501E-3,3.542341758E-3,-1.246343274E-2
2.091593000E0,-1.772501855E-4,6.738291122E-3,-9.316249751E-3
2.101582000E0,-2.365842229E-3,7.809245959E-3,-5.079162773E-3
2.111615000E0,6.122498773E-3,1.000326220E-2,-7.102485979E-4
2.121625000E0,1.143284049E-2,6.841027178E-3,2.578222891E-3
2.131605000E0,1.463543810E-2,3.660397138E-3,3.699195571E-3
2.141622000E0,7.183116395E-3,1.427762397E-2,-7.219180115E-4
2.151632000E0,-1.335323090E-3,1.102800854E-2,-1.882675337E-3
2.161658000E0,-9.882250801E-3,5.655425135E-3,1.760403684E-4
2.171650000E0,-1.736786403E-2,5.620005075E-3,1.149159507E-3
2.181660000E0,-1.845349371E-2,-1.844112645E-3,4.378278740E-3
2.191681000E0,-7.820450701E-3,-7.097901544E-4,7.711896207E-3
2.201673000E0,7.075237227E-4,4.670590628E-3,7.793921512E-3
2.211683000E0,-3.520744387E-3,6.767757703E-3,3.456822131E-3
2.221673000E0,-1.199529320E-2,-3.959179856E-3,1.978701184E-4
2.231695000E0,-1.939035952E-2,-1.148687396E-2,-5.200889893E-3
2.241705000E0,-1.503097080E-2,-1.362464763E-2,-1.261130162E-2
2.251696000E0,-6.398176309E-3,-9.344804101E-3,-2.213502303E-2
2.261729000E0,4.250566475E-3,-3.949440550E-3,-2.095924318E-2
2.271739000E0,6.271372549E-3,1.315816864E-2,-1.460813731E-2
2.281749000E0,7.226800546E-3,1.959653385E-2,-6.081803236E-3
2.291730000E0,1.849539578E-3,1.211752463E-2,-7.723073941E-4
2.301740000E0,-7.770065218E-3,-2.857698826E-3,3.452797653E-3
2.311749000E0,-1.107244939E-2,-7.102425443E-4,1.194230560E-2
2.321755000E0,-9.045104496E-3,-6.653954042E-4,2.157796361E-2
2.331765000E0,-4.971572198E-4,1.509872382E-3,2.060777508E-2
2.341779000E0,2.822104143E-3,1.108617987E-2,7.781461813E-3
2.351790000E0,1.842331141E-3,1.851707511E-2,-1.884784666E-3
2.361800000E0,-2.360402606E-3,1.527468022E-2,-7.264103275E-3
2.371808000E0,-4.536488093E-3,9.946744889E-3,-1.925968099E-3
2.381812000E0,-8.866715245E-3,2.480830997E-3,5.532003008E-3
2.391822000E0,-1.104065310E-2,3.547955304E-3,8.704094216E-3
2.401839000E0,-1.852059178E-2,2.445650520E-3,9.682361037E-3
2.411847000E0,-2.596086264E-2,4.529838450E-3,6.373871583E-3
2.421857000E0,-2.799631655E-2,7.686485536E-3,-3.283016616E-3
2.431836000E0,-1.830535941E-2,1.311850734E-3,-9.532812051E-3
2.441842000E0,-2.266321098E-3,-1.567448676E-2,-8.173872717E-3
2.451852000E0,4.142309539E-3,-2.630475909E-2,-5.902728997E-3
2.461859000E0,3.033853834E-3,-3.163097799E-2,-1.615867950E-3
2.471894000E0,7.282806560E-3,-4.439915717E-2,2.774161985E-3
2.481904000E0,6.200497970E-3,-4.333389178E-2,3.823447507E-3
2.491895000E0,3.002704121E-3,-4.121997952E-2,2.703639446E-3
2.501917000E0,-1.999398519E-4,-4.123657569E-2,2.661887789E-3
2.511927000E0,-1.244963845E-3,-4.551441222E-2,1.601416967E-3
2.521924000E0,-1.239265548E-3,-4.447640851E-2,-5.531184142E-4
2.531909000E0,-1.286387676E-3,-3.912937269E-2,2.623446751E-3
2.541919000E0,-5.546380300E-3,-4.342025891E-2,2.590423683E-3
2.551954000E0,-2.318048384E-3,-4.874269292E-2,1.587467967E-3
2.561956000E0,-9.763059206E-3,-4.985623807E-2,-6.413072115E-4
