"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.657695313E0,-5.599999800E-2,7.752999663E-1,7.789999992E-2
1.667621875E0,-3.570000082E-2,7.488999963E-1,2.175999880E-1
1.677548438E0,-3.869999945E-2,7.529000044E-1,2.074999958E-1
1.687475000E0,-3.009999916E-2,7.838000059E-1,5.309999734E-2
1.697400000E0,2.730000019E-2,8.137999773E-1,-9.999999776E-3
1.707326563E0,6.799999624E-3,7.466999888E-1,5.229999870E-2
1.717253125E0,6.199999899E-2,6.965999603E-1,7.649999857E-2
1.727179688E0,1.006999984E-1,7.030999660E-1,1.030000020E-2
1.737106250E0,1.728999913E-1,6.437999606E-1,1.035999954E-1
1.747032813E0,1.683000028E-1,5.661999583E-1,7.840000093E-2
1.756959375E0,6.269999593E-2,4.483999908E-1,5.289999768E-2
1.766884375E0,3.629999980E-2,4.073999822E-1,-5.260000005E-2
1.776810938E0,-7.469999790E-2,2.101999968E-1,-1.152999997E-1
1.786737500E0,-1.246999949E-1,2.471999973E-1,-5.359999835E-2
1.796664063E0,-1.239999980E-1,1.572999954E-1,-1.289999951E-2
1.806590625E0,-1.067999974E-1,9.709999710E-2,7.400000002E-3
1.816517188E0,7.299999706E-3,2.899999917E-2,3.629999980E-2
1.826443750E0,-7.899999619E-3,9.499999695E-3,-5.629999936E-2
1.836368750E0,-3.049999848E-2,-2.919999883E-2,1.199999941E-3
1.846295313E0,-1.018999964E-1,-1.076999977E-1,-3.720000014E-2
1.856221875E0,-8.119999617E-2,-1.169999987E-1,1.119999960E-2
1.866148438E0,-8.439999819E-2,-5.779999867E-2,-2.099999972E-2
1.876075000E0,1.640000008E-2,-1.153999940E-1,-8.999999845E-4
1.886001563E0,2.379999869E-2,-2.056999952E-1,-1.711999923E-1
1.895926563E0,2.879999951E-2,-2.770999968E-1,-1.977999955E-1
1.905853125E0,3.999999899E-4,-2.505999804E-1,-1.507999897E-1
1.915779688E0,2.319999970E-2,-2.920999825E-1,-4.779999703E-2
1.925706250E0,5.299999937E-2,-2.158999890E-1,-1.179999951E-2
1.935632813E0,7.189999521E-2,-1.683000028E-1,-5.399999768E-2
