"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.074027969E1,-3.089232836E-3,-2.117433399E-1,-1.726130582E-2
1.074524219E1,-3.630284918E-3,-2.143962383E-1,-1.755801216E-2
1.075020625E1,-3.630284918E-3,-2.143962383E-1,-1.755801216E-2
1.075516875E1,-4.502949305E-3,-2.188817412E-1,-1.792453043E-2
1.076013125E1,-4.502949305E-3,-2.188817412E-1,-1.792453043E-2
1.076509531E1,-5.253441166E-3,-2.197369486E-1,-1.797689125E-2
1.077005781E1,-5.253441166E-3,-2.197369486E-1,-1.797689125E-2
1.077502188E1,-5.602506921E-3,-2.230879813E-1,-1.811651699E-2
1.077998438E1,-5.602506921E-3,-2.230879813E-1,-1.811651699E-2
1.078494844E1,-6.003932562E-3,-2.272418737E-1,-1.848303713E-2
1.078991094E1,-6.003932562E-3,-2.272418737E-1,-1.848303713E-2
1.079487344E1,-6.859143730E-3,-2.292140871E-1,-1.815142483E-2
1.079983750E1,-6.859143730E-3,-2.292140871E-1,-1.815142483E-2
1.080480156E1,-7.295476273E-3,-2.320066094E-1,-1.743583940E-2
1.080976406E1,-7.295476273E-3,-2.320066094E-1,-1.743583940E-2
1.081472656E1,-7.714355364E-3,-2.323731333E-1,-1.647590846E-2
1.081969063E1,-7.714355364E-3,-2.323731333E-1,-1.647590846E-2
1.082465313E1,-7.871435024E-3,-2.314481139E-1,-1.577777602E-2
1.082961562E1,-7.871435024E-3,-2.314481139E-1,-1.577777602E-2
1.083457969E1,-7.958701812E-3,-2.292490005E-1,-1.544616371E-2
1.083954219E1,-7.958701812E-3,-2.292490005E-1,-1.544616371E-2
1.084450625E1,-7.766715251E-3,-2.314830124E-1,-1.560324337E-2
1.084946875E1,-7.766715251E-3,-2.314830124E-1,-1.560324337E-2
1.085443281E1,-7.539822254E-3,-2.332632542E-1,-1.569050923E-2
1.085939531E1,-7.539822254E-3,-2.332632542E-1,-1.569050923E-2
1.086435781E1,-7.417649496E-3,-2.349562198E-1,-1.586504281E-2
1.086932188E1,-7.417649496E-3,-2.349562198E-1,-1.586504281E-2
1.087428438E1,-7.330382708E-3,-2.393020988E-1,-1.630137488E-2
1.087924688E1,-7.330382708E-3,-2.393020988E-1,-1.630137488E-2
1.088421094E1,-7.225662936E-3,-2.442413718E-1,-1.659808122E-2
1.088917344E1,-7.225662936E-3,-2.442413718E-1,-1.659808122E-2
1.089413750E1,-6.702064537E-3,-2.479938269E-1,-1.680752076E-2
1.089910000E1,-6.702064537E-3,-2.479938269E-1,-1.680752076E-2
1.090406406E1,-5.916666240E-3,-2.509957850E-1,-1.685987972E-2
1.090902656E1,-5.916666240E-3,-2.509957850E-1,-1.685987972E-2
1.091399062E1,-4.904375412E-3,-2.566157579E-1,-1.696459949E-2
1.091895312E1,-4.904375412E-3,-2.566157579E-1,-1.696459949E-2
1.092391563E1,-3.647738136E-3,-2.595828176E-1,-1.677261479E-2
1.092887969E1,-3.647738136E-3,-2.595828176E-1,-1.677261479E-2
1.093384219E1,-2.303834539E-3,-2.623229921E-1,-1.659808122E-2
1.093880625E1,-2.303834539E-3,-2.623229921E-1,-1.659808122E-2
1.094376875E1,-1.483529806E-3,-2.694788277E-1,-1.696459949E-2
1.094873125E1,-1.483529806E-3,-2.694788277E-1,-1.696459949E-2
1.095369531E1,-1.431170036E-3,-2.778389752E-1,-1.757546514E-2
1.095865781E1,-1.431170036E-3,-2.778389752E-1,-1.757546514E-2
1.096362188E1,-1.815142459E-3,-2.765823305E-1,-1.748819835E-2
1.096858438E1,-1.815142459E-3,-2.765823305E-1,-1.748819835E-2
1.097354844E1,-2.216568217E-3,-2.789559662E-1,-1.785471849E-2
1.097851094E1,-2.216568217E-3,-2.789559662E-1,-1.785471849E-2
1.098347344E1,-2.338741207E-3,-2.768964767E-1,-1.792453043E-2
1.098843750E1,-2.338741207E-3,-2.768964767E-1,-1.792453043E-2
1.099340000E1,-2.513274085E-3,-2.774550021E-1,-1.822123677E-2
1.099836406E1,-2.513274085E-3,-2.774550021E-1,-1.822123677E-2
1.100332656E1,-3.490658477E-3,-2.790606916E-1,-1.858775690E-2
1.100829062E1,-3.490658477E-3,-2.790606916E-1,-1.858775690E-2
1.101325312E1,-4.817108624E-3,-2.801777124E-1,-1.905899495E-2
1.101821562E1,-4.817108624E-3,-2.801777124E-1,-1.905899495E-2
1.102317969E1,-5.305801053E-3,-2.840697765E-1,-2.015855350E-2
1.102814219E1,-5.305801053E-3,-2.840697765E-1,-2.015855350E-2
1.103310625E1,-5.480333697E-3,-2.842792273E-1,-2.101376466E-2
1.103806875E1,-5.480333697E-3,-2.842792273E-1,-2.101376466E-2
1.104303281E1,-5.742133129E-3,-2.818357646E-1,-2.106612362E-2
1.104799531E1,-5.742133129E-3,-2.818357646E-1,-2.106612362E-2
1.105295781E1,-5.532693584E-3,-2.823942602E-1,-2.103121765E-2
1.105792188E1,-5.532693584E-3,-2.823942602E-1,-2.103121765E-2
1.106288438E1,-5.305801053E-3,-2.820626497E-1,-2.068215236E-2
