"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.452109380E-1,-2.607572973E-1,9.812912941E0,5.789849758E-1
6.501734380E-1,-3.349392414E-1,9.841633797E0,5.526583791E-1
6.551375000E-1,-3.181893826E-1,9.803345680E0,4.976204634E-1
6.601000000E-1,-3.421122730E-1,9.774634361E0,4.210538864E-1
6.650640630E-1,-3.205740452E-1,9.808135033E0,4.689091742E-1
6.700265630E-1,-3.756119311E-1,9.796163559E0,5.263413191E-1
6.749890630E-1,-3.660447001E-1,9.810519218E0,4.880532324E-1
6.799531250E-1,-4.043232203E-1,9.829663277E0,5.095914602E-1
6.849421880E-1,-3.564679027E-1,9.779414177E0,4.497651756E-1
6.898796880E-1,-3.038241863E-1,9.786596298E0,4.689091742E-1
6.948421880E-1,-3.564679027E-1,9.757884979E0,4.330153167E-1
6.998062500E-1,-3.612563312E-1,9.760279655E0,3.947368264E-1
7.047687500E-1,-3.804003298E-1,9.827268600E0,4.210538864E-1
7.097328130E-1,-3.564679027E-1,9.798557281E0,4.569477439E-1
7.146953130E-1,-2.559688985E-1,9.805740356E0,4.713034034E-1
7.196578130E-1,-3.205740452E-1,9.812912941E0,6.172634959E-1
7.246218750E-1,-3.397180736E-1,9.896661758E0,6.986184716E-1
7.295843750E-1,-3.421122730E-1,9.882307053E0,7.034068704E-1
7.345484380E-1,-2.607572973E-1,9.863162994E0,7.943387032E-1
7.395109380E-1,-1.746139228E-1,9.851201057E0,7.799734473E-1
7.444734380E-1,-7.411490381E-2,9.870346069E0,8.996165395E-1
7.494375000E-1,-5.019204319E-2,9.877518654E0,8.326171637E-1
7.544000000E-1,8.380663395E-2,9.903844833E0,8.637226820E-1
7.593640630E-1,9.634267539E-3,9.858384132E0,9.977213144E-1
7.643281250E-1,-2.336740959E-3,9.870346069E0,9.450871348E-1
7.692906250E-1,-6.933607906E-2,9.872738838E0,8.996165395E-1
7.742531250E-1,2.398990095E-2,9.863162994E0,7.895502448E-1
7.792156250E-1,-4.540364072E-2,9.858384132E0,6.842628121E-1
7.841796880E-1,-1.052203774E-1,9.980412483E0,5.741965771E-1
7.891421880E-1,-1.602582783E-1,9.860768318E0,6.794840097E-1
7.941062500E-1,-2.200750262E-1,9.860768318E0,6.818686724E-1
7.990687500E-1,-2.535746992E-1,9.915806770E0,7.321181893E-1
8.040328130E-1,-3.205740452E-1,9.889489174E0,6.579458117E-1
8.089953130E-1,-2.511900663E-1,9.925383568E0,8.063001037E-1
8.139593750E-1,-2.487958670E-1,9.903844833E0,8.302229643E-1
8.189218750E-1,-1.913637519E-1,9.899056435E0,8.278383017E-1
8.238843750E-1,-2.224692255E-1,9.848807335E0,8.158673048E-1
8.288484380E-1,-3.469006717E-1,9.906239510E0,8.063001037E-1
8.338109380E-1,-3.181893826E-1,9.882307053E0,8.469727635E-1
8.387750000E-1,-3.086126149E-1,9.851201057E0,9.474717975E-1
8.437375000E-1,-2.918627560E-1,9.889489174E0,8.876550794E-1
8.487000000E-1,-3.110068142E-1,9.860768318E0,9.426929951E-1
8.536640630E-1,-3.349392414E-1,9.817702293E0,9.522601962E-1
8.586265630E-1,-3.445064723E-1,9.836845398E0,9.450871348E-1
8.635906250E-1,-2.583630979E-1,9.913412094E0,8.900492787E-1
8.685531250E-1,-2.057193965E-1,9.848807335E0,7.823676467E-1
8.735171880E-1,-1.913637519E-1,9.738740921E0,7.416949272E-1
8.784796880E-1,-1.052203774E-1,9.731558800E0,7.273392677E-1
8.834421880E-1,5.746084207E-5,9.731558800E0,6.603399515E-1
8.884062500E-1,3.834553435E-2,9.712413788E0,5.718024373E-1
8.933687500E-1,4.791276529E-2,9.729164124E0,5.191587210E-1
8.983328130E-1,5.748957023E-2,9.659780502E0,4.641303718E-1
9.032953130E-1,4.845864139E-3,9.657385826E0,4.282364845E-1
9.082578130E-1,1.680729724E-2,9.705241203E0,4.330153167E-1
9.132218750E-1,-1.669237576E-2,9.710029602E0,5.167644620E-1
9.181843750E-1,-1.908657700E-2,9.757884979E0,4.497651756E-1
9.231484380E-1,-3.344221041E-2,9.743529320E0,4.641303718E-1
9.281109380E-1,-5.019204319E-2,9.666953087E0,5.071972609E-1
9.330750000E-1,-5.019204319E-2,9.702846527E0,5.478699207E-1
9.380375000E-1,-6.215347722E-2,9.712413788E0,5.550525784E-1
9.430015630E-1,-2.386540174E-2,9.700452805E0,5.215529203E-1
9.479640630E-1,-3.344221041E-2,9.705241203E0,3.995156586E-1
