"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.089953130E-1,-9.857790470E-1,9.769846916E0,-2.249974906E-1
8.139578130E-1,-8.446072936E-1,9.815307617E0,-1.914978325E-1
8.189218750E-1,-7.201758623E-1,9.855990410E0,-5.511452630E-2
8.238843750E-1,-6.005424261E-1,9.877518654E0,3.102885373E-2
8.288484380E-1,-5.502929091E-1,9.927767754E0,2.224500775E-1
8.338109380E-1,-5.431103110E-1,9.997160912E0,3.755927682E-1
8.387750000E-1,-4.234672487E-1,9.922988892E0,4.928416312E-1
8.437375000E-1,-3.780061305E-1,9.920595169E0,7.058010697E-1
8.487000000E-1,-4.043232203E-1,9.925383568E0,7.560505867E-1
8.536640630E-1,-3.923617899E-1,9.908634186E0,7.297335267E-1
8.586265630E-1,-3.827945590E-1,9.899056435E0,7.512621880E-1
8.635906250E-1,-3.804003298E-1,9.966055870E0,6.053020358E-1
8.685531250E-1,-4.617553055E-1,9.930162430E0,5.287354589E-1
8.735171880E-1,-5.287546515E-1,9.970844269E0,5.454853773E-1
8.784796880E-1,-5.478987098E-1,1.003305531E1,4.306307137E-1
8.834421880E-1,-6.388209462E-1,9.994767189E0,3.133818507E-1
8.884062500E-1,-6.962530017E-1,1.002588272E1,3.684101999E-1
8.933687500E-1,-7.010414004E-1,1.001870060E1,2.846610248E-1
8.983328130E-1,-6.747148037E-1,1.000673866E1,3.301316798E-1
9.032953130E-1,-7.967520356E-1,1.001870060E1,1.817677915E-1
9.082593750E-1,-8.374247551E-1,9.970844269E0,7.096413523E-3
9.132218750E-1,-7.010414004E-1,9.961267471E0,-3.836468980E-2
9.181843750E-1,-6.340420246E-1,9.992383003E0,-2.640325576E-2
9.231484380E-1,-6.340420246E-1,9.867951393E0,-4.315309227E-2
9.281109380E-1,-6.507919431E-1,9.853595734E0,1.427901909E-2
9.330750000E-1,-6.101096272E-1,9.870346069E0,2.296326756E-1
9.380375000E-1,-6.316478848E-1,9.920595169E0,3.229490519E-1
9.430015630E-1,-7.034260035E-1,9.968450546E0,4.545535445E-1
9.479640630E-1,-8.254632354E-1,1.005698872E1,6.531573534E-1
9.529265630E-1,-1.114998937E0,1.030823517E1,8.780878186E-1
9.578906250E-1,-1.397351980E0,1.011441040E1,9.259431362E-1
9.628531250E-1,-1.315997005E0,1.006894875E1,7.034068704E-1
9.678171880E-1,-1.239420772E0,1.016226578E1,1.650275439E-1
9.727796880E-1,-7.871752381E-1,1.013115978E1,-5.033569783E-2
9.777437500E-1,-8.446072936E-1,1.008330441E1,1.267394572E-1
9.827062500E-1,-6.436092854E-1,9.970844269E0,1.267394572E-1
9.876687500E-1,-8.326458931E-1,9.997160912E0,3.349105120E-1
9.926328130E-1,-5.837925673E-1,1.002109337E1,4.114866555E-1
9.975953130E-1,-3.899675608E-1,9.968450546E0,5.287354589E-1
1.002559375E0,-2.272576243E-1,9.915806770E0,5.789849758E-1
1.007521875E0,-1.722197086E-1,9.906239510E0,4.736976027E-1
1.012485938E0,-7.411490381E-2,9.836845398E0,5.741965771E-1
1.017448438E0,-7.890331000E-2,9.765057564E0,5.215529203E-1
1.022410938E0,-8.129751682E-2,9.757884979E0,5.789849758E-1
1.027375000E0,2.451662440E-3,9.741134644E0,4.976204634E-1
1.032337500E0,-1.908657700E-2,9.765057564E0,5.071972609E-1
1.037301563E0,-7.411490381E-2,9.678915024E0,4.880532324E-1
1.042264063E0,-1.626524776E-1,9.731558800E0,4.066982567E-1
1.047228125E0,-2.440074682E-1,9.714808464E0,4.545535445E-1
1.052190625E0,-3.325450420E-1,9.666953087E0,4.784860015E-1
1.057153125E0,-3.014395833E-1,9.686098099E0,4.306307137E-1
1.062117188E0,-1.961521655E-1,9.726778984E0,3.253432810E-1
1.067079688E0,-1.459026486E-1,9.714808464E0,3.109876513E-1
1.072042188E0,-1.028357521E-1,9.750701904E0,2.655169666E-1
1.077006250E0,-4.779784381E-2,9.796163559E0,3.085934520E-1
1.081968750E0,-4.540364072E-2,9.834450722E0,3.708043694E-1
1.086932813E0,-1.889695525E-1,9.853595734E0,3.731985688E-1
1.091895313E0,-2.990453839E-1,9.793779373E0,5.502641797E-1
1.096859375E0,-3.205740452E-1,9.932557106E0,6.459843516E-1
1.101821875E0,-5.191778541E-1,1.017184258E1,6.555515528E-1
1.106785938E0,-6.412150860E-1,9.978017807E0,7.656177878E-1
1.111748438E0,-5.981481671E-1,9.894268990E0,7.464833260E-1
1.116710938E0,-3.804003298E-1,9.884700775E0,5.263413191E-1
1.121675000E0,-2.870743573E-1,9.915806770E0,3.229490519E-1
1.126637500E0,-2.129019946E-1,9.872738838E0,2.104886323E-1
1.131601563E0,-2.129019946E-1,9.911018372E0,2.559497356E-1
1.136564063E0,-2.392190546E-1,9.839240074E0,1.841619909E-1
1.141526563E0,-1.913637519E-1,9.853595734E0,2.176616639E-1
1.146490625E0,-2.416132689E-1,9.901451111E0,2.655169666E-1
1.151453125E0,-2.751129270E-1,9.863162994E0,2.655169666E-1
1.156417188E0,-2.870743573E-1,9.836845398E0,3.373047113E-1
1.161379688E0,-3.540737033E-1,9.865556717E0,3.660160005E-1
1.166343750E0,-4.067174196E-1,9.851201057E0,4.162654579E-1
1.171306250E0,-5.120047927E-1,9.846412659E0,5.526583791E-1
1.176268750E0,-4.856877327E-1,9.820096016E0,7.177625299E-1
1.181232813E0,-4.402170777E-1,9.788990021E0,9.714042544E-1
1.186195313E0,-2.105077952E-1,9.781807899E0,1.071903229E0
1.191159375E0,-2.386540174E-2,9.798557281E0,1.217863441E0
1.196121875E0,5.748957023E-2,9.779414177E0,1.232218981E0
1.201085938E0,1.077295020E-1,9.729164124E0,1.225046039E0
1.206048438E0,1.914786696E-1,9.729164124E0,1.189152122E0
1.211010938E0,2.560837865E-1,9.676529884E0,1.143691063E0
1.215975000E0,2.225841433E-1,9.712413788E0,1.067114830E0
1.220937500E0,1.747288406E-1,9.760279655E0,1.074297428E0
1.225901563E0,1.723346412E-1,9.736346245E0,1.081470490E0
1.230864063E0,1.053352952E-1,9.717203140E0,1.124547005E0
1.235828125E0,1.340465695E-1,9.793779373E0,1.014471173E0
1.240790625E0,1.053352952E-1,9.853595734E0,1.062336087E0
1.245753125E0,1.292581707E-1,9.829663277E0,1.000115514E0
1.250717188E0,1.819018722E-1,9.772240639E0,9.737984538E-1
1.255679688E0,2.249783427E-1,9.779414177E0,9.857599139E-1
1.260643750E0,2.058342993E-1,9.798557281E0,9.402987957E-1
1.265606250E0,2.608722150E-1,9.810519218E0,9.259431362E-1
1.270570313E0,1.890844703E-1,9.803345680E0,7.728003860E-1
1.275532813E0,9.576806426E-2,9.848807335E0,5.957348347E-1
1.280495313E0,5.030696467E-2,9.829663277E0,6.029078960E-1
1.285459375E0,6.466259807E-2,9.829663277E0,5.957348347E-1
1.290421875E0,9.815269709E-2,9.762663841E0,5.622351766E-1
1.295385938E0,1.795076579E-1,9.698058128E0,5.598409176E-1
1.300348438E0,1.866902709E-1,9.726778984E0,6.148692966E-1
1.305312500E0,2.010459006E-1,9.738740921E0,5.598409176E-1
1.310275000E0,1.101237014E-1,9.808135033E0,6.340133548E-1
1.315237500E0,3.355713189E-2,9.834450722E0,5.574467778E-1
1.320201563E0,-8.369170874E-2,9.860768318E0,6.292344928E-1
1.325164063E0,-2.535746992E-1,9.827268600E0,6.986184716E-1
1.330128125E0,-3.540737033E-1,9.769846916E0,7.871560454E-1
1.335090625E0,-4.497938752E-1,9.820096016E0,8.565496206E-1
1.340053125E0,-5.311488509E-1,9.925383568E0,9.402987957E-1
1.345017188E0,-5.598601103E-1,9.903844833E0,9.546543956E-1
1.349979688E0,-5.359276533E-1,9.899056435E0,9.929425120E-1
1.354943750E0,-5.024375916E-1,9.867951393E0,1.052759290E0
1.359906250E0,-4.282556474E-1,9.832057953E0,1.126941204E0
1.364870313E0,-3.708235621E-1,9.839240074E0,1.105402946E0
1.369832813E0,-3.134010136E-1,9.817702293E0,1.047970772E0
1.374795313E0,-2.559688985E-1,9.824884415E0,8.804724813E-1
1.379759375E0,-2.655456960E-1,9.741134644E0,8.374055624E-1
1.384721875E0,-2.105077952E-1,9.726778984E0,7.440891862E-1
1.389685938E0,-1.913637519E-1,9.743529320E0,6.579458117E-1
1.394648438E0,-2.775071263E-1,9.712413788E0,5.287354589E-1
1.399612500E0,-3.612563312E-1,9.731558800E0,5.048030615E-1
1.404575000E0,-4.043232203E-1,9.784202576E0,4.282364845E-1
1.409537500E0,-4.665437341E-1,9.793779373E0,3.947368264E-1
1.414501563E0,-5.742157698E-1,9.765057564E0,3.947368264E-1
1.419464063E0,-5.885714293E-1,9.820096016E0,4.234480858E-1
1.424428125E0,-5.790041685E-1,9.800951958E0,4.425921440E-1
1.429390625E0,-5.574659705E-1,9.798557281E0,3.014108241E-1
1.434354688E0,-4.497938752E-1,9.820096016E0,2.774879634E-1
1.439317188E0,-3.851887584E-1,9.767452240E0,1.339124888E-1
1.444279688E0,-4.091115892E-1,9.767452240E0,5.734591931E-2
1.449243750E0,-2.966511548E-1,9.827268600E0,1.004128158E-1
1.454206250E0,-2.990453839E-1,9.788990021E0,-1.053640321E-1
1.459170313E0,-2.105077952E-1,9.788990021E0,-3.597048670E-2
1.464132813E0,-1.339412183E-1,9.796163559E0,1.666364260E-2
1.469095313E0,-1.339412183E-1,9.827268600E0,1.339124888E-1
1.474059375E0,-7.650911063E-2,9.760279655E0,1.602391303E-1
1.479021875E0,7.423940301E-2,9.808135033E0,2.248442620E-1
1.483985938E0,5.988377333E-2,9.774634361E0,1.698063612E-1
1.488946875E0,5.509537086E-2,9.786596298E0,1.530565321E-1
1.493910938E0,2.451662440E-3,9.772240639E0,7.170155644E-2
1.498873438E0,-1.602582783E-1,9.755491257E0,1.674121618E-1
1.503839063E0,-2.751129270E-1,9.755491257E0,2.511613369E-1
1.508800000E0,-3.636505008E-1,9.786596298E0,3.468815386E-1
