"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.749906250E-1,-1.046150327E-1,-8.723155409E-2,-2.003637888E-2
6.799531250E-1,-1.046150327E-1,-8.723155409E-2,-2.003637888E-2
6.849156250E-1,-1.173035800E-1,-1.343729049E-1,-2.818706818E-2
6.898796880E-1,-1.173035800E-1,-1.343729049E-1,-2.818706818E-2
6.948421880E-1,-1.261873096E-1,-1.672374457E-1,-3.377212211E-2
6.998062500E-1,-1.261873096E-1,-1.672374457E-1,-3.377212211E-2
7.047687500E-1,-1.358738840E-1,-1.694191098E-1,-3.284709528E-2
7.097312500E-1,-1.358738840E-1,-1.694191098E-1,-3.284709528E-2
7.146953130E-1,-1.426981241E-1,-1.649510711E-1,-2.974040993E-2
7.196578130E-1,-1.426981241E-1,-1.649510711E-1,-2.974040993E-2
7.246218750E-1,-1.400103122E-1,-1.540951133E-1,-2.295107953E-2
7.295843750E-1,-1.400103122E-1,-1.540951133E-1,-2.295107953E-2
7.345484380E-1,-1.323134154E-1,-1.355946362E-1,-1.900663599E-2
7.395109380E-1,-1.323134154E-1,-1.355946362E-1,-1.900663599E-2
7.444734380E-1,-1.214225590E-1,-9.040805697E-2,-8.098327555E-3
7.494375000E-1,-1.214225590E-1,-9.040805697E-2,-8.098327555E-3
7.544000000E-1,-1.101128235E-1,4.764748737E-3,1.795943826E-2
7.593640630E-1,-1.101128235E-1,4.764748737E-3,1.795943826E-2
7.643265630E-1,-1.019097716E-1,1.334129721E-1,5.900958180E-2
7.692906250E-1,-1.019097716E-1,1.334129721E-1,5.900958180E-2
7.742531250E-1,-1.005309671E-1,3.193778098E-1,1.149473861E-1
7.792156250E-1,-1.005309671E-1,3.193778098E-1,1.149473861E-1
7.841796880E-1,-9.492845833E-2,4.331558049E-1,1.455604583E-1
7.891421880E-1,-9.492845833E-2,4.331558049E-1,1.455604583E-1
7.941062500E-1,-8.412487060E-2,4.495269954E-1,1.480737329E-1
7.990687500E-1,-8.412487060E-2,4.495269954E-1,1.480737329E-1
8.040328130E-1,-5.682792142E-2,4.070107937E-1,1.316327304E-1
8.089953130E-1,-5.682792142E-2,4.070107937E-1,1.316327304E-1
8.139578130E-1,-1.715658605E-2,3.409675360E-1,1.095543131E-1
8.189218750E-1,-1.715658605E-2,3.409675360E-1,1.095543131E-1
8.238843750E-1,2.246238664E-2,2.891486883E-1,9.253735840E-2
8.288484380E-1,2.246238664E-2,2.891486883E-1,9.253735840E-2
8.338109380E-1,4.899139330E-2,2.484127134E-1,8.030259609E-2
