"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.055497000E0,-5.010081482E-1,9.774374084E0,5.769003296E-1
1.065566000E0,-4.543052673E-1,9.801916809E0,5.830375671E-1
1.075634000E0,-4.134402466E-1,9.800569611E0,5.812413025E-1
1.085657000E0,-3.688330078E-1,9.801018677E0,4.998106384E-1
1.095726000E0,-3.556604004E-1,9.832453308E0,4.525090027E-1
1.105796000E0,-4.364923096E-1,9.875713348E0,4.978646851E-1
1.115844000E0,-5.173242188E-1,9.907447357E0,5.468128967E-1
1.125889000E0,-5.239105225E-1,9.856253815E0,6.077362061E-1
1.135958000E0,-5.354365540E-1,9.845027161E0,6.351292419E-1
1.146012000E0,-4.981640625E-1,9.925410004E0,6.233038330E-1
1.156050000E0,-3.929328918E-1,9.949659576E0,6.188131714E-1
1.166121000E0,-3.655398560E-1,9.958491211E0,5.830375671E-1
1.176175000E0,-4.192781067E-1,9.889784088E0,5.462141418E-1
1.186202000E0,-4.926255798E-1,9.841434631E0,5.427713013E-1
1.196251000E0,-5.168751526E-1,9.799372101E0,4.864883423E-1
1.206334000E0,-5.138813782E-1,9.807155914E0,5.191204834E-1
1.216383000E0,-5.216651917E-1,9.833501129E0,5.453160095E-1
1.226414000E0,-5.022056580E-1,9.766290894E0,5.192701721E-1
1.236499000E0,-4.647834778E-1,9.762099609E0,5.028044128E-1
1.246531000E0,-3.667373657E-1,9.851912842E0,5.402265930E-1
1.256577000E0,-3.350033569E-1,9.907597046E0,5.031037903E-1
1.266634000E0,-3.167413330E-1,9.915380859E0,4.682263184E-1
1.276717000E0,-4.068539429E-1,9.911039886E0,5.222639465E-1
1.286740000E0,-5.201683044E-1,9.858349457E0,5.372328186E-1
1.296793000E0,-5.493576050E-1,9.833800507E0,5.566923523E-1
1.306867000E0,-5.035528564E-1,9.824819183E0,4.909790039E-1
1.316901000E0,-4.396357727E-1,9.815987549E0,4.755610657E-1
1.326951000E0,-4.218228149E-1,9.859546967E0,4.058061218E-1
1.337019000E0,-4.397854614E-1,9.905800781E0,4.529580688E-1
1.347091000E0,-4.980143738E-1,9.923763428E0,4.625381470E-1
1.357114000E0,-5.676196289E-1,9.874515839E0,5.167254639E-1
1.367171000E0,-5.911207581E-1,9.860445099E0,4.945715332E-1
1.377253000E0,-5.827381897E-1,9.859397278E0,4.998106384E-1
1.387277000E0,-5.203179932E-1,9.871222687E0,4.843927002E-1
1.397333000E0,-4.303550720E-1,9.883048096E0,4.549040222E-1
1.407420000E0,-3.342549133E-1,9.896071014E0,4.257147217E-1
1.417471000E0,-2.498304749E-1,9.893376617E0,4.263134766E-1
1.427504000E0,-2.766247559E-1,9.892927551E0,4.448748779E-1
1.437552000E0,-3.662882996E-1,9.853260040E0,4.767585754E-1
1.447605000E0,-4.463717651E-1,9.823322296E0,5.318440247E-1
1.457690000E0,-5.108876038E-1,9.847272491E0,5.363346863E-1
1.467741000E0,-5.319937134E-1,9.925260315E0,5.269042969E-1
1.477768000E0,-5.075944519E-1,9.874815216E0,4.914280701E-1
1.487837000E0,-4.667294312E-1,9.893226929E0,5.069956970E-1
1.497906000E0,-4.788542175E-1,9.893077240E0,5.361849976E-1
1.507930000E0,-4.800517273E-1,9.834099884E0,5.143304443E-1
1.518011000E0,-4.444258118E-1,9.851463776E0,4.840933228E-1
1.528037000E0,-3.968247986E-1,9.883796539E0,4.715194702E-1
1.538122000E0,-3.676354980E-1,9.912686462E0,4.540058899E-1
1.548171000E0,-4.318519592E-1,9.879904633E0,4.481680298E-1
1.558201000E0,-4.761598206E-1,9.900262299E0,4.828958130E-1
1.568286000E0,-4.778063965E-1,9.926008759E0,4.718188477E-1
1.578308000E0,-4.510121155E-1,9.891430664E0,4.680766296E-1
1.588393000E0,-4.020639038E-1,9.920919342E0,4.676275635E-1
1.598446000E0,-3.462300110E-1,9.911488953E0,4.171824646E-1
1.608470000E0,-3.150947571E-1,9.850266266E0,3.748205566E-1
1.618551000E0,-3.757186890E-1,9.797575836E0,3.525169373E-1
