"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.061017000E0,1.261298079E-2,1.952926442E-2,2.948171832E-2
1.071027000E0,7.298885845E-3,1.416238956E-2,2.836643346E-2
1.081036000E0,5.175730214E-3,9.883367456E-3,2.835320868E-2
1.091076000E0,-1.277671661E-3,4.532686435E-3,3.364311531E-2
1.101086000E0,-4.595171195E-3,-7.177767344E-3,4.647928476E-2
1.111065000E0,-2.422193764E-3,-2.956893668E-2,4.876668006E-2
1.121105000E0,8.700073813E-4,-5.090591684E-2,4.570937157E-2
1.131115000E0,2.976528835E-3,-5.834951252E-2,5.004672706E-2
1.141094000E0,1.793438382E-2,-6.360585988E-2,5.024623126E-2
1.151134000E0,2.326869406E-2,-4.758215323E-2,4.702966288E-2
1.161144000E0,2.228170447E-2,-2.628549561E-2,3.515230119E-2
1.171153000E0,2.454053983E-2,-1.884442195E-2,2.338718809E-2
1.181163000E0,2.774219215E-2,-3.899031319E-3,2.014878392E-2
1.191173000E0,2.457270958E-2,3.539753146E-3,1.579489559E-2
1.201167000E0,3.108672611E-2,4.608207382E-3,6.238831207E-3
1.211191000E0,3.325134143E-2,1.207437459E-2,1.955935266E-3
1.221201000E0,2.466407418E-2,3.550366312E-2,6.487120409E-4
1.231193000E0,2.143982612E-2,5.362140015E-2,-1.631382504E-3
1.241214000E0,2.139545232E-2,6.216654554E-2,4.543667019E-4
1.251224000E0,1.811656728E-2,5.897448584E-2,7.906956598E-3
1.261226000E0,1.385798119E-2,4.082253948E-2,1.114602853E-2
1.271249000E0,1.151861041E-3,1.939781755E-2,6.827687379E-3
1.281259000E0,-8.408674970E-3,1.206070301E-3,6.804714445E-3
1.291243000E0,-8.942972636E-4,-1.476165559E-2,6.981841289E-3
1.301278000E0,9.679259732E-3,-1.787333935E-2,1.674364693E-2
1.311288000E0,2.022537775E-2,-1.351161301E-2,2.754010074E-2
1.321271000E0,2.653059550E-2,1.480833860E-3,3.287947923E-2
1.331308000E0,1.908849739E-2,1.742685214E-2,2.628690191E-2
1.341318000E0,3.173204372E-3,3.437253833E-2,1.317435317E-2
1.351314000E0,-4.257502966E-3,3.965064138E-2,7.705517113E-3
1.361337000E0,2.147541149E-3,2.475599200E-2,1.105966140E-2
1.371347000E0,7.420600392E-3,1.734015346E-2,1.864221320E-2
1.381343000E0,1.060627773E-2,9.898609482E-3,2.192092501E-2
1.391353000E0,4.275908694E-3,1.410769206E-2,1.434258372E-2
1.401363000E0,-2.054158598E-3,1.724942401E-2,6.767754909E-3
1.411372000E0,-1.059414819E-2,1.294039097E-2,7.745355833E-3
1.421364000E0,-1.070626453E-2,5.512086675E-3,1.952614635E-2
1.431374000E0,-1.395599078E-2,-4.086115398E-3,2.593791299E-2
1.441402000E0,-2.575475723E-2,-9.310850874E-4,3.004438058E-2
1.451392000E0,-3.003719449E-2,-8.411844261E-3,3.323484957E-2
1.461402000E0,-2.674499527E-2,-2.015212364E-2,2.799321711E-2
1.471425000E0,-2.981529385E-2,-2.660482377E-2,1.837544888E-2
1.481421000E0,-2.766897529E-2,-2.339490876E-2,1.730788313E-2
