"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.583401562E0,8.799999952E-2,3.519999981E-1,-1.145999953E-1
3.593328125E0,-9.389999509E-2,4.482999742E-1,2.899999963E-3
3.603254687E0,-1.711999923E-1,4.370999932E-1,8.859999478E-2
3.613179687E0,-1.572999954E-1,4.352999926E-1,1.439999975E-2
3.623106250E0,-1.229999959E-1,4.532999992E-1,-4.419999942E-2
3.633032812E0,-7.289999723E-2,5.216999650E-1,-8.899999782E-3
3.642959375E0,-2.749999985E-2,4.632000029E-1,7.189999521E-2
3.652885937E0,6.069999933E-2,3.348999918E-1,2.899999917E-2
3.662812500E0,1.244999990E-1,3.251000047E-1,2.009999938E-2
3.672739062E0,1.160999984E-1,2.784999907E-1,1.419000030E-1
3.682664062E0,1.375000030E-1,3.113999963E-1,1.750999987E-1
3.692590625E0,1.879999973E-2,3.041999936E-1,1.215000004E-1
3.702518750E0,-1.209999993E-2,2.572000027E-1,-2.199999988E-3
3.712443750E0,-4.010000080E-2,1.895999908E-1,-7.809999585E-2
3.722370312E0,-1.679999940E-2,2.563000023E-1,-1.166999936E-1
