"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.816517187E0,-2.490999997E-1,5.253999829E-1,-1.894999892E-1
1.826443750E0,-2.073999941E-1,4.105999768E-1,-9.529999644E-2
1.836370312E0,-8.359999955E-2,3.488000035E-1,-1.679999977E-1
1.846295312E0,7.389999926E-2,2.126999944E-1,-6.879999489E-2
1.856221875E0,1.189999953E-1,1.173999980E-1,-7.759999484E-2
1.866148437E0,7.580000162E-2,1.144999936E-1,2.510000020E-2
1.876073437E0,1.789999940E-2,9.219999611E-2,8.699999750E-2
1.886000000E0,5.339999869E-2,7.440000027E-2,8.779999614E-2
1.895926562E0,6.650000066E-2,1.439999975E-2,-4.580000043E-2
1.905853125E0,4.129999876E-2,7.539999485E-2,1.049999986E-2
1.915779687E0,7.050000131E-2,1.977999955E-1,1.897999942E-1
1.925706250E0,1.787000000E-1,2.078999877E-1,5.920000002E-2
1.935632812E0,1.419999897E-1,1.679999977E-1,1.999999955E-2
1.945559375E0,4.609999806E-2,2.967999876E-1,-4.160000011E-2
1.955485937E0,-1.107999980E-1,4.950999916E-1,6.719999760E-2
1.965410937E0,-2.039999962E-1,4.540999830E-1,1.119999960E-1
1.975337500E0,-8.240000159E-2,4.882999957E-1,-1.167999953E-1
1.985265625E0,9.039999545E-2,6.006000042E-1,-1.074999943E-1
1.995190625E0,8.669999987E-2,8.439999819E-1,3.700000048E-2
2.005117187E0,-1.023999974E-1,1.155099988E0,1.516999900E-1
2.015042187E0,-2.361999899E-1,1.240999937E0,2.172999978E-1
2.024970312E0,-2.883999944E-1,1.362100005E0,1.952999979E-1
2.034896875E0,-1.577999890E-1,1.405499935E0,1.252999902E-1
2.044821875E0,3.269999847E-2,1.435599923E0,8.249999583E-2
2.054748437E0,1.542999893E-1,1.482699990E0,1.149000004E-1
2.064675000E0,1.771999896E-1,1.401399970E0,1.554999948E-1
