"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.452125000E-1,2.452187613E-2,3.317172825E-1,7.602654397E-2
6.501750000E-1,2.452187613E-2,3.317172825E-1,7.602654397E-2
6.551390630E-1,3.536036983E-2,3.675837815E-1,7.953465730E-2
6.601015630E-1,3.536036983E-2,3.675837815E-1,7.953465730E-2
6.650640630E-1,4.607669264E-2,3.726976216E-1,7.559020817E-2
6.700281250E-1,4.607669264E-2,3.726976216E-1,7.559020817E-2
6.749906250E-1,5.532693863E-2,3.675139844E-1,6.997025013E-2
6.799546880E-1,5.532693863E-2,3.675139844E-1,6.997025013E-2
6.849171880E-1,6.466444582E-2,3.245265186E-1,5.850343779E-2
6.898812500E-1,6.466444582E-2,3.245265186E-1,5.850343779E-2
6.948437500E-1,7.309439033E-2,3.066020012E-1,5.237733200E-2
6.998078130E-1,7.309439033E-2,3.066020012E-1,5.237733200E-2
7.047703130E-1,8.208283782E-2,2.410648763E-1,3.556980938E-2
7.097328130E-1,8.208283782E-2,2.410648763E-1,3.556980938E-2
7.146953130E-1,8.681267500E-2,1.821251065E-1,1.424188633E-2
7.196593750E-1,8.681267500E-2,1.821251065E-1,1.424188633E-2
7.246234380E-1,8.948303014E-2,1.176526472E-1,-1.487020496E-2
7.295859380E-1,8.948303014E-2,1.176526472E-1,-1.487020496E-2
7.345500000E-1,9.248499572E-2,4.197516665E-2,-4.742059484E-2
7.395125000E-1,9.248499572E-2,4.197516665E-2,-4.742059484E-2
7.444750000E-1,9.712757170E-2,-8.709193207E-3,-6.991788745E-2
7.494390630E-1,9.712757170E-2,-8.709193207E-3,-6.991788745E-2
7.544015630E-1,9.660397470E-2,-2.727949619E-2,-7.735299319E-2
7.593656250E-1,9.660397470E-2,-2.727949619E-2,-7.735299319E-2
7.643281250E-1,8.967501670E-2,-3.546509147E-2,-7.356562465E-2
7.692906250E-1,8.967501670E-2,-3.546509147E-2,-7.356562465E-2
7.742546880E-1,7.979645580E-2,1.043706853E-2,-5.797983706E-2
7.792171880E-1,7.979645580E-2,1.043706853E-2,-5.797983706E-2
7.841812500E-1,7.089527696E-2,4.948008433E-2,-4.787437990E-2
7.891437500E-1,7.089527696E-2,4.948008433E-2,-4.787437990E-2
7.941078130E-1,6.349507719E-2,7.150614262E-2,-4.359832406E-2
7.990703130E-1,6.349507719E-2,7.150614262E-2,-4.359832406E-2
8.040328130E-1,5.911429971E-2,1.034282148E-1,-4.064871743E-2
8.089968750E-1,5.911429971E-2,1.034282148E-1,-4.064871743E-2
8.139593750E-1,6.012659147E-2,9.594074637E-2,-4.092797264E-2
8.189218750E-1,6.012659147E-2,9.594074637E-2,-4.092797264E-2
8.238859380E-1,6.251769513E-2,6.236061454E-2,-4.354596511E-2
8.288500000E-1,6.251769513E-2,6.236061454E-2,-4.354596511E-2
8.338125000E-1,6.455972791E-2,3.373721614E-2,-4.501204193E-2
8.387750000E-1,6.455972791E-2,3.373721614E-2,-4.501204193E-2
8.437390630E-1,6.853908300E-2,1.485275198E-2,-4.607669264E-2
8.487015630E-1,6.853908300E-2,1.485275198E-2,-4.607669264E-2
8.536640630E-1,7.810348272E-2,5.969026126E-3,-4.949753731E-2
8.586265630E-1,7.810348272E-2,5.969026126E-3,-4.949753731E-2
8.635906250E-1,9.114108980E-2,-1.588249579E-2,-5.770058557E-2
8.685531250E-1,9.114108980E-2,-1.588249579E-2,-5.770058557E-2
