"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.461729687E0,-2.549000084E-1,3.621000051E-1,-2.119999938E-2
2.471656250E0,-1.803999990E-1,3.559999764E-1,1.083000004E-1
2.481582812E0,-2.243999988E-1,4.405999780E-1,1.080999970E-1
2.491507812E0,-1.658999920E-1,5.069999695E-1,5.460000038E-2
2.501434375E0,-8.779999614E-2,4.475999773E-1,3.830000013E-2
2.511360937E0,5.639999732E-2,4.657999873E-1,-7.939999551E-2
2.521287500E0,1.983999908E-1,4.329999983E-1,-4.419999942E-2
2.531214062E0,3.181000054E-1,4.314000010E-1,6.999999750E-3
2.541140625E0,3.750999868E-1,4.820999801E-1,2.929999866E-2
2.551067187E0,3.664000034E-1,4.149999917E-1,-1.089999974E-1
2.560992187E0,2.800000012E-1,3.807999790E-1,-1.079999954E-1
2.570918750E0,2.201999873E-1,3.504999876E-1,7.509999722E-2
2.580845312E0,1.058999971E-1,2.815999985E-1,2.427999973E-1
2.590770312E0,-2.319999970E-2,3.181999922E-1,2.927999794E-1
2.600698437E0,-1.435000002E-1,3.017999828E-1,4.926999807E-1
2.610625000E0,-1.193000004E-1,3.507999778E-1,4.922999740E-1
2.620550000E0,-1.806999892E-1,3.827999830E-1,2.433999926E-1
2.630476562E0,-2.273999900E-1,3.568999767E-1,2.960000001E-2
2.640403125E0,-2.239999920E-1,3.610999882E-1,-2.513999939E-1
2.650328125E0,-2.680999935E-1,3.388999999E-1,-4.208000004E-1
2.660256250E0,-2.768000066E-1,4.933999777E-1,-4.864999950E-1
2.670182812E0,-3.252999783E-1,3.874999881E-1,-4.819999933E-1
2.680109375E0,-2.236000001E-1,3.966999948E-1,-4.032000005E-1
2.690034375E0,-1.709000021E-1,4.245999753E-1,-2.913999856E-1
2.699960937E0,-1.612999886E-1,3.615999818E-1,-1.074999943E-1
2.709887500E0,-1.068999991E-1,3.522000015E-1,1.234999970E-1
2.719814062E0,8.299999870E-3,2.946999967E-1,2.437999994E-1
2.729740625E0,1.325999945E-1,3.362999856E-1,2.500999868E-1
2.739667187E0,3.143999875E-1,2.698999941E-1,1.596999913E-1
2.749592187E0,2.393999994E-1,2.153999954E-1,1.811999977E-1
2.759518750E0,3.300999999E-1,2.110999972E-1,2.057999969E-1
2.769443750E0,3.538999856E-1,1.779000014E-1,1.174999997E-1
2.779371875E0,2.167999893E-1,1.165999994E-1,7.999999821E-2
2.789298437E0,1.923999935E-1,1.185999960E-1,2.149999887E-1
2.799225000E0,2.039999962E-1,1.331000030E-1,2.370999902E-1
2.809151562E0,8.519999683E-2,1.585000008E-1,3.560999930E-1
2.819078125E0,2.105000019E-1,1.781999916E-1,3.080999851E-1
2.829003125E0,2.910999954E-1,2.287999988E-1,9.979999810E-2
2.838929687E0,2.404999882E-1,2.680999935E-1,-1.535999924E-1
2.848856250E0,4.030000046E-2,2.554999888E-1,-3.085999787E-1
2.858782812E0,-1.230999976E-1,2.992999852E-1,-4.113000035E-1
2.868707812E0,-2.698000073E-1,2.745999992E-1,-3.809999824E-1
2.878634375E0,-2.698999941E-1,3.373999894E-1,-2.769999802E-1
2.888560937E0,-1.287999898E-1,3.199999928E-1,-9.510000050E-2
2.898487500E0,-6.359999627E-2,2.796999812E-1,-2.019999921E-2
2.908414062E0,-1.318999976E-1,3.220999837E-1,5.619999766E-2
2.918340625E0,-2.151999921E-1,3.793999851E-1,2.358999997E-1
2.928265625E0,-2.642999887E-1,4.028999805E-1,4.041000009E-1
2.938192187E0,-1.622999907E-1,4.998999834E-1,4.995999932E-1
2.948120312E0,-1.119999960E-2,4.772000015E-1,5.243999958E-1
2.958045312E0,7.829999924E-2,4.901999831E-1,4.393999875E-1
2.967971875E0,2.119999975E-1,4.993999898E-1,1.836999953E-1
2.977898437E0,2.399999946E-1,4.966000021E-1,-1.166999936E-1
2.987825000E0,2.877999842E-1,4.165999889E-1,-2.466999888E-1
2.997751562E0,2.484999895E-1,3.976999819E-1,-2.717999816E-1
3.007678125E0,2.063999921E-1,3.594999909E-1,-1.307999939E-1
3.017603125E0,1.422999948E-1,3.041999936E-1,-5.549999699E-2
3.027529687E0,7.840000093E-2,2.273999900E-1,1.010999978E-1
3.037456250E0,1.519999932E-2,2.992999852E-1,1.568000019E-1
3.047382812E0,-9.039999545E-2,2.757000029E-1,2.215999961E-1
3.057307812E0,-1.677999943E-1,2.588999867E-1,1.544999927E-1
3.067234375E0,-1.450999975E-1,2.396999896E-1,-3.000000026E-3
3.077160937E0,-3.346000016E-1,2.906000018E-1,-8.709999919E-2
3.087087500E0,-2.897000015E-1,2.987000048E-1,-1.894999892E-1
3.097014062E0,-2.264999896E-1,2.908000052E-1,-3.407000005E-1
3.106939062E0,-2.078000009E-1,3.404999971E-1,-4.307999909E-1
3.116865625E0,-1.462000012E-1,3.174999952E-1,-3.024999797E-1
3.126792187E0,-1.502999961E-1,2.692999840E-1,-1.948999912E-1
