"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.256140625E0,1.220851392E-1,9.858384132E0,1.201113582E0
7.261104687E0,6.705679744E-2,9.839240074E0,1.270507097E0
7.266067187E0,1.202846877E-2,9.879913330E0,1.265718579E0
7.271031250E0,-4.061523825E-2,9.922988892E0,1.239401579E0
7.275993750E0,-5.736507475E-2,9.949306488E0,1.323150754E0
7.280956250E0,-1.195855886E-1,9.913412094E0,1.217863441E0
7.285920312E0,-9.804734588E-2,9.922988892E0,1.251363039E0
7.290882812E0,-2.386540174E-2,9.989988327E0,1.263324499E0
7.295846875E0,-2.625960298E-2,9.894268990E0,1.248968840E0
7.300809375E0,-9.509769268E-3,9.951700211E0,1.203507662E0
7.305773437E0,7.184520364E-2,9.918201447E0,1.086258888E0
7.310735937E0,8.859504014E-2,9.851201057E0,1.093441486E0
7.315698437E0,5.270116776E-2,9.841633797E0,1.112575889E0
7.320662500E0,5.988377333E-2,9.855990410E0,1.088653088E0
7.325625000E0,7.423940301E-2,9.887095451E0,1.076691628E0
7.330589062E0,8.380663395E-2,9.800951958E0,1.141296744E0
7.335551562E0,5.030696467E-2,9.824884415E0,1.141296744E0
7.340515625E0,1.441309415E-2,9.846412659E0,1.225046039E0
7.345478125E0,-2.336740959E-3,9.846412659E0,1.229824781E0
7.350440625E0,4.845864139E-3,9.858384132E0,1.282468557E0
7.355404687E0,4.845864139E-3,9.884700775E0,1.248968840E0
7.360367187E0,-1.908657700E-2,9.836845398E0,1.181969523E0
7.365329687E0,-3.344221041E-2,9.834450722E0,1.162825465E0
7.370293750E0,-1.124029830E-1,9.796163559E0,1.038403511E0
7.375257812E0,2.451662440E-3,9.836845398E0,1.047970772E0
7.380220312E0,4.791276529E-2,9.748308182E0,9.379045963E-1
7.385182812E0,1.149025261E-1,9.784202576E0,8.039059043E-1
7.390146875E0,1.292581707E-1,9.755491257E0,8.206557035E-1
7.395109375E0,1.651520431E-1,9.707635880E0,7.201567292E-1
7.400073437E0,9.576806426E-2,9.755491257E0,6.818686724E-1
7.405035937E0,5.030696467E-2,9.760279655E0,7.584447861E-1
7.410000000E0,3.116292879E-2,9.760279655E0,7.153682709E-1
7.414962500E0,3.834553435E-2,9.800951958E0,7.105894685E-1
7.419925000E0,5.509537086E-2,9.717203140E0,8.493670225E-1
7.424889062E0,7.902780920E-2,9.654992104E0,9.642215967E-1
7.429851562E0,3.834553435E-2,9.731558800E0,9.187605381E-1
7.434815625E0,3.595133126E-2,9.714808464E0,1.028836250E0
7.439778125E0,-1.190397050E-2,9.731558800E0,1.093441486E0
7.444740625E0,9.634267539E-3,9.748308182E0,1.076691628E0
7.449704687E0,8.620083332E-2,9.700452805E0,1.074297428E0
7.454667187E0,9.338344634E-2,9.745914459E0,1.031220913E0
7.459631250E0,1.436233670E-1,9.733952522E0,1.081470490E0
7.464593750E0,1.507963985E-1,9.726778984E0,9.690100551E-1
7.469557812E0,2.177957445E-1,9.674136162E0,8.876550794E-1
7.474520312E0,1.699404269E-1,9.769846916E0,8.589437604E-1
7.479482812E0,1.316523552E-1,9.731558800E0,8.134731650E-1
7.484446875E0,5.748957023E-2,9.796163559E0,7.991175056E-1
7.489409375E0,-5.258624628E-2,9.824884415E0,8.445882201E-1
7.494373437E0,-1.506910622E-1,9.841633797E0,8.996165395E-1
7.499335937E0,-2.176903933E-1,9.836845398E0,9.761926532E-1
7.504300000E0,-2.344402373E-1,9.867951393E0,1.047970772E0
7.509262500E0,-2.894685566E-1,9.882307053E0,1.129325747E0
7.514225000E0,-3.445064723E-1,9.872738838E0,1.136508465E0
7.519189062E0,-2.559688985E-1,9.894268990E0,1.143691063E0
7.524151562E0,-2.751129270E-1,9.877518654E0,1.153258204E0
7.529115625E0,-2.607572973E-1,9.901451111E0,1.112575889E0
7.534078125E0,-1.961521655E-1,9.877518654E0,1.191546321E0
7.539040625E0,-1.794023216E-1,9.867951393E0,1.239401579E0
7.544004687E0,-1.698351055E-1,9.891883850E0,1.181969523E0
7.548967187E0,-1.530852467E-1,9.966055870E0,1.170008063E0
7.553931250E0,-1.147971824E-1,9.911018372E0,1.241795778E0
7.558893750E0,-1.147971824E-1,9.879913330E0,1.177190661E0
7.563856250E0,-1.602582783E-1,9.863162994E0,1.141296744E0
7.568820312E0,-8.847054094E-2,9.903844833E0,1.100614548E0
7.573784375E0,1.441309415E-2,9.939739227E0,1.026442170E0
7.578746875E0,5.748957023E-2,9.844018936E0,9.618370533E-1
7.583709375E0,9.576806426E-2,9.848807335E0,7.871560454E-1
7.588671875E0,8.620083332E-2,9.870346069E0,7.129837275E-1
7.593635937E0,9.815269709E-2,9.815307617E0,6.268403530E-1
7.598598437E0,1.603731960E-1,9.805740356E0,6.603399515E-1
7.603562500E0,1.627578288E-1,9.781807899E0,5.670139790E-1
7.608525000E0,1.340465695E-1,9.784202576E0,6.603399515E-1
7.613489062E0,1.986517012E-1,9.736346245E0,6.890512705E-1
7.618451562E0,1.771230400E-1,9.733952522E0,8.158673048E-1
7.623415625E0,1.484021842E-1,9.731558800E0,8.637226820E-1
7.628378125E0,1.962575018E-1,9.719596863E0,9.785868526E-1
